split,tokenizer,file,row_id,token_len,eq_len,equation_preview
test,bpe,tokenized_test_bpe.csv,6470,31,79,y=(2/3+h+B_0+tau_max)^n+1-exp(4+R+p_f+z+tau_2)-(4+k+a^circ-g^-)/(c+b*E-Q_avg^2)
test,bpe,tokenized_test_bpe.csv,4730,31,83,I_min=n+y+(h*V)/(N_A+g_net^2*F_rms)+(2+R+gamma_i^-1+psi+a^-1)^2+(C^2)/(k-R*L_0^+*d)
test,bpe,tokenized_test_bpe.csv,6710,31,89,g=sum_n=0^n(1/3+c+s)+(pi-h-T)/(2/3-e-v-phi^++u)+(t_0*lambda*I)/(3+c+phi_min*P)+pi+Q-delta
test,bpe,tokenized_test_bpe.csv,5960,30,82,V=sqrt(2+B_avg+r_i+s^-1)+(e+v-V_f*R)/(v)-cos(v+phi_avg+beta_max)-(h+d)/(3+e+theta)
test,bpe,tokenized_test_bpe.csv,7410,30,84,p_f=int(k+omega_1^circ+z+P_f)dV-(k-I_2-E+phi_rms)/(e*beta+h*theta)+ln(4-R-a_f+Q_rms)
test,bpe,tokenized_test_bpe.csv,1155,30,79,Q=(1/2*k+s_rms^+)/(v_min^2+n+tau_net^-1)+1/2+h+a+a+n+(phi_max^2*p_i^*)/(pi+c^*)
test,bpe,tokenized_test_bpe.csv,3305,30,78,a=sin(4-R-Q_min+beta^3-w_0)-C^3+b+alpha-ln(1-c*y^3)+sum_k=1^N(2+R_net+m_max+V)
test,bpe,tokenized_test_bpe.csv,420,29,80,z=(2+e+lambda)^1/2+(1+R_f*A_net+beta_min)/(k-R^circ+b)-(d_0+x)/(d_f)+h+w_min^*-v
test,bpe,tokenized_test_bpe.csv,4290,29,82,b_min=(e+d)^-1+(1*mu+mu_avg)/(G+r*c)-(I_net^-+delta)^n+1-(p*theta_avg^2)/(2/3+c-y)
test,bpe,tokenized_test_bpe.csv,4165,29,73,v=(G+c_f*x)/(L-w)-G+sigma_max^2-omega^circ-(c-gamma+V+u_f)/(R+mu*g_max*W)
test,char,tokenized_test_char.csv,3125,126,126,R=s_net+F_2^n*phi+(k+E_min+u+Q)^1/2-(2-G-s*sigma-v_0^-)/(3+N_A+lambda_1^n-a_i^2)+(2+G+h_1+alpha_avg^3)/(4/3-h-m_f^circ-lambda)
test,char,tokenized_test_char.csv,5645,125,125,x=sum_n=1^N(2/3+pi+y_min+delta_i+delta_max)-(pi*x_rms*g+mu_avg)/(4+alpha_f)+(gamma_f+B_1*sigma_avg)/(T_rms)-1/2+A*P_i-A_net^3
test,char,tokenized_test_char.csv,6800,115,115,p_min=(e+Q+psi^+)^-1-(4/3*N_A-delta+t-alpha)/(2+N_A+psi_avg)+int_a^b(1/3+c+T_max+V^2+phi_avg)dx+(4/3+N_A+theta^2)^2
test,char,tokenized_test_char.csv,1680,112,112,B_0=exp(3+k+h+delta_max+d)+sum_n=0^inf(1+h+u+epsilon_0+A)-(pi-w*theta-r)/(c+d^**omega_max*s)-(4/3+G+u+a)/(r_min)
test,char,tokenized_test_char.csv,5540,104,104,a_f=sum_j=1^inf(epsilon+B_min)+1/3-k*lambda_0+d+s+int(4/3+N_A+Q_0+c_rms^-+V_avg)dr+(gamma)/(c+delta_rms)
test,char,tokenized_test_char.csv,10,103,103,I=2+G*y-t*I_2+sum_n=1^inf(pi+x+a_f+A_1)+(c*alpha_min^n+tau^circ)/(e*L)-(pi-E_max)/(h*T_net+A_min*W_max)
test,char,tokenized_test_char.csv,9790,103,103,n_avg=(1/3+k*n_net^-1*v_f)/(G+z-Q_max)-(1-h_f)/(1/2*R-epsilon-mu+h_rms)-(c+I_i^circ+s_net+lambda_f)^1/2
test,char,tokenized_test_char.csv,9625,96,96,P_1=(Q_0+gamma+r)^2-(1/3+r_2*Q_rms+P)/(c-d+omega*epsilon_rms)-sin(N_A-n_i^2)+(2+k+C+psi_max+R)^n
test,char,tokenized_test_char.csv,1410,96,96,L=(m)/(2/3-N_A*omega*alpha_net)+log(c-v)-(1/3+e+lambda+F+mu_max)^3+(3*k*s_min*theta)/(e*delta_i)
test,char,tokenized_test_char.csv,925,95,95,v_avg=cos(R+mu+b+lambda)+partialE/partialx+sin(c+epsilon_min+beta)+sum_i=1^N(h+a_2^++u^-+theta)
test,char,tokenized_test_char.csv,3395,91,91,V=(e-sigma*w*T^circ)/(4-N_A+psi+omega_2-a)+int(1/3+k+n_net)dx+partialR/partialt-(3+x^-)^1/2
test,char,tokenized_test_char.csv,855,91,91,g=1+I_2-u^n-b_i+(c_f-alpha*C)/(c-alpha+I^+)+(1/3+pi+c_max)^-1+(1+N_A-C*B^2)/(2*c+y_2-sigma)
test,char,tokenized_test_char.csv,7420,90,90,m=da/dx+sum_i=1^inf(2+k+sigma_2+L_rms+delta_i^circ)+(2/3+pi+beta+gamma+x)^1/2+pi*Q-phi_min
test,char,tokenized_test_char.csv,6710,89,89,g=sum_n=0^n(1/3+c+s)+(pi-h-T)/(2/3-e-v-phi^++u)+(t_0*lambda*I)/(3+c+phi_min*P)+pi+Q-delta
test,char,tokenized_test_char.csv,7990,85,85,y=4/3*k+a-n+h_avg+exp(2/3+h-Q)-(N_A+theta_0+d_i+epsilon_min)^2+sin(k+s_2+s+omega_min)
test,char,tokenized_test_char.csv,7410,84,84,p_f=int(k+omega_1^circ+z+P_f)dV-(k-I_2-E+phi_rms)/(e*beta+h*theta)+ln(4-R-a_f+Q_rms)
test,char,tokenized_test_char.csv,2050,84,84,v=cos(R*theta^*+psi)+sqrt(h+a*tau_1-A_min)-(1/2+beta_avg)^n+1+(e*mu)/(d_0-b_f+m_avg)
test,char,tokenized_test_char.csv,8390,83,83,a=ln(1/2+x+P+F_avg)-(e-x_i+epsilon)/(2*R+v)-(c+p_2+A)^2-(2-I_0-s-z)/(3-c-u_2+L+F_1)
test,char,tokenized_test_char.csv,4785,83,83,h=(1/2+e+x_rms+c^circ)^n+tau_i^2+(A*gamma_i-phi_1)/(e-beta-y)+(R-s-E)/(v+A-delta_0)
test,char,tokenized_test_char.csv,4730,83,83,I_min=n+y+(h*V)/(N_A+g_net^2*F_rms)+(2+R+gamma_i^-1+psi+a^-1)^2+(C^2)/(k-R*L_0^+*d)
test,hierarchical,tokenized_test_hierarchical.csv,6800,219,115,p_min=(e+Q+psi^+)^-1-(4/3*N_A-delta+t-alpha)/(2+N_A+psi_avg)+int_a^b(1/3+c+T_max+V^2+phi_avg)dx+(4/3+N_A+theta^2)^2
test,hierarchical,tokenized_test_hierarchical.csv,9790,197,103,n_avg=(1/3+k*n_net^-1*v_f)/(G+z-Q_max)-(1-h_f)/(1/2*R-epsilon-mu+h_rms)-(c+I_i^circ+s_net+lambda_f)^1/2
test,hierarchical,tokenized_test_hierarchical.csv,9625,181,96,P_1=(Q_0+gamma+r)^2-(1/3+r_2*Q_rms+P)/(c-d+omega*epsilon_rms)-sin(N_A-n_i^2)+(2+k+C+psi_max+R)^n
test,hierarchical,tokenized_test_hierarchical.csv,3125,178,126,R=s_net+F_2^n*phi+(k+E_min+u+Q)^1/2-(2-G-s*sigma-v_0^-)/(3+N_A+lambda_1^n-a_i^2)+(2+G+h_1+alpha_avg^3)/(4/3-h-m_f^circ-lambda)
test,hierarchical,tokenized_test_hierarchical.csv,1410,171,96,L=(m)/(2/3-N_A*omega*alpha_net)+log(c-v)-(1/3+e+lambda+F+mu_max)^3+(3*k*s_min*theta)/(e*delta_i)
test,hierarchical,tokenized_test_hierarchical.csv,855,171,91,g=1+I_2-u^n-b_i+(c_f-alpha*C)/(c-alpha+I^+)+(1/3+pi+c_max)^-1+(1+N_A-C*B^2)/(2*c+y_2-sigma)
test,hierarchical,tokenized_test_hierarchical.csv,7410,165,84,p_f=int(k+omega_1^circ+z+P_f)dV-(k-I_2-E+phi_rms)/(e*beta+h*theta)+ln(4-R-a_f+Q_rms)
test,hierarchical,tokenized_test_hierarchical.csv,2050,165,84,v=cos(R*theta^*+psi)+sqrt(h+a*tau_1-A_min)-(1/2+beta_avg)^n+1+(e*mu)/(d_0-b_f+m_avg)
test,hierarchical,tokenized_test_hierarchical.csv,7990,161,85,y=4/3*k+a-n+h_avg+exp(2/3+h-Q)-(N_A+theta_0+d_i+epsilon_min)^2+sin(k+s_2+s+omega_min)
test,hierarchical,tokenized_test_hierarchical.csv,4785,155,83,h=(1/2+e+x_rms+c^circ)^n+tau_i^2+(A*gamma_i-phi_1)/(e-beta-y)+(R-s-E)/(v+A-delta_0)
test,hierarchical,tokenized_test_hierarchical.csv,4200,155,81,n=(1/2*theta)/(pi*p_avg-psi_0)+int(2+e+b_net^*+phi)dr-(G+a_avg^*)/(N_A-E^+-C*s_1)
test,hierarchical,tokenized_test_hierarchical.csv,1665,153,78,L=ln(N_A+Q*P-W)-ln(pi+W+I_max+beta)-(2+b-m_min+alpha_min)/(k+mu^*-R_rms^+*w_i)
test,hierarchical,tokenized_test_hierarchical.csv,785,153,79,p=partialQ/partialt+(k+n_min)/(3+lambda_f^3-W+A)-R-h^+*tau+sin(N_A-alpha+w_avg)
test,hierarchical,tokenized_test_hierarchical.csv,7555,153,80,B_avg=sqrt(pi+B_f+c)+(2+pi+z_min+L+F_net)^2+(3-c*alpha)/(c-w^2)+1*pi-p_f*u+delta
test,hierarchical,tokenized_test_hierarchical.csv,5960,151,82,V=sqrt(2+B_avg+r_i+s^-1)+(e+v-V_f*R)/(v)-cos(v+phi_avg+beta_max)-(h+d)/(3+e+theta)
test,hierarchical,tokenized_test_hierarchical.csv,8925,151,79,z=e-r-c+x_f-p+partialC/partialx+(1/2-psi_i+sigma_max^3-v)/(pi-beta_max^2-sigma)
test,hierarchical,tokenized_test_hierarchical.csv,420,149,80,z=(2+e+lambda)^1/2+(1+R_f*A_net+beta_min)/(k-R^circ+b)-(d_0+x)/(d_f)+h+w_min^*-v
test,hierarchical,tokenized_test_hierarchical.csv,8390,149,83,a=ln(1/2+x+P+F_avg)-(e-x_i+epsilon)/(2*R+v)-(c+p_2+A)^2-(2-I_0-s-z)/(3-c-u_2+L+F_1)
test,hierarchical,tokenized_test_hierarchical.csv,8435,149,75,m=partialW/partialx-(N_A-I_i-beta_0-sigma)/(3-c*a_i-a_rms^+-C)-cos(R+W_rms)
test,hierarchical,tokenized_test_hierarchical.csv,6185,149,79,v_rms=(1/2+g^++w_min)^2+ln(2/3+T_avg+A)+(G-mu^circ+phi_2)/(C_f+Q+p)+3-G-theta-W
train,bpe,tokenized_train_bpe.csv,885,45,134,W=(G*E_1+psi_avg)/(R-v_2^-1*x+a_rms)+(pi-a_min*lambda-a)/(k+Q^+*t)+(3-G-L_i+delta_max)/(k*beta_avg)-(h-alpha_max*w)/(v^circ*m_avg+B_i)
train,bpe,tokenized_train_bpe.csv,9315,44,121,p=(3*h-y+h+b)/(3-h-v*h_2+omega)+(1*k+L_avg*A^3+T_max)/(4-R-lambda_net-tau+z)+(d+V^-1*d_min)/(3*theta_2^+-W*x)-(2+w+z_1)^2
train,bpe,tokenized_train_bpe.csv,7790,43,114,E_i=(pi-R*phi_i^-1*E_0^2)/(4/3+G+a_avg-u-R^-)-(4+R+b^circ-W*psi_f)/(1/3-u+c)+tan(2/3+R*p-Q_min)+(pi*C-W^3)/(2-k*x)
train,bpe,tokenized_train_bpe.csv,7975,43,126,B_1=(3-h-s-Q)/(1+G*s_f^-+B^3*alpha_net)+(1/3+P_rms)^1/2-(2/3-R+mu_min*gamma^+-y)/(1/3-c+epsilon+V_net^2)+(G-tau)/(2+v_avg*c_i)
train,bpe,tokenized_train_bpe.csv,2940,41,119,a=(y_2+E_rms*omega)/(3*z)-(1/3*pi*delta*b*F_f)/(1/2-k-lambda_1^n*delta-x)-h+r^circ+(1/3*T_0^circ)/(e*r_f*mu_min^+*beta)
train,bpe,tokenized_train_bpe.csv,9160,41,108,R=(4+a_max-phi_min^-)/(R-d_net^+)+int(w_rms^+)dr+(k+c^+*phi+epsilon)/(2-R-Q_max*x_0)+(1-h+y^circ)/(pi-d*g_f)
train,bpe,tokenized_train_bpe.csv,8270,40,109,E=partialL/partialy-int_a^L(c+L+T)dx+(e+delta_i-W_net)/(4-N_A-E_2+n-z)+(G+y*p^*-Q_f^-1)/(R*z_f*u_1-phi_min^*)
train,bpe,tokenized_train_bpe.csv,3160,40,122,h=exp(e+lambda)-(R*theta_net)/(beta^n*v_1*g)+(4/3+k+F*epsilon_net+V_1)/(k*Q_rms^2+u_net)-(2/3-G*A-r+gamma)/(4*h-t_i^+-E^*)
train,bpe,tokenized_train_bpe.csv,8285,39,120,a_net=(4/3*theta_f*lambda+y_1^*)/(beta+V_0+R_0^-1)+(R+L_net^-1+x+theta_2)^2+(3-mu_max+w^-1-F)/(1/2+N_A+p+C)-pi*E-sigma_1
train,bpe,tokenized_train_bpe.csv,3065,39,120,p=1*h*p_avg^3+x_0^n-4+pi-a-(k+m_f*w_rms+lambda)/(4/3*R_2^-+alpha-alpha^+)-(N_A-d_0-beta*E_f)/(R+lambda_min^*-Q_net+beta)
train,bpe,tokenized_train_bpe.csv,605,39,121,B=sum_j=1^N(1/2+e+r+T_1^3)+(1/2+e-sigma^++W_rms-gamma_0^2)/(h*g*R_f+mu_rms^n)-(R-epsilon+alpha_2^n+B_avg)/(N_A-W^*-d_max)
train,bpe,tokenized_train_bpe.csv,8375,39,130,R_1=(N_A+beta_min+delta^2)/(2*c_min*a_f)-(E_2^n)/(1+P-R^+*d)-(1/2+c+b+delta_1)^-1+(2/3*beta_2+sigma*epsilon)/(2*N_A+T_1-sigma+p_2)
train,bpe,tokenized_train_bpe.csv,9490,39,111,B_net=sin(h+psi+alpha_f^3+omega_i)+(3*k+omega_rms^2)/(3*pi+Q_2^+)+k-t_2*phi_f+I+(N_A*tau^3)/(G+r_min-sigma^+-p)
train,bpe,tokenized_train_bpe.csv,2925,39,105,g=(k-V_net*v^n)/(2+h+F_2)-(1+Q_0)/(1/2+k*a+B_i)-(e+mu-I_i-w_rms)/(4/3-t_rms*y*phi)+(pi+v^2+delta+v_2^+)^n
train,bpe,tokenized_train_bpe.csv,6330,38,107,v_f=(psi*m_1^-1*F_net^-1)/(t_1+g_avg)-(4+pi*v*lambda_net-tau_0^n)/(2/3-c+tau^-1+E_max)-sin(psi_i+w_i+d_0^3)
train,bpe,tokenized_train_bpe.csv,9445,38,111,T=(x^3)/(2/3*phi_min*phi_i*s)+(h*beta_2*E)/(2/3*m*g_min-beta)-(3*c+b_min^3+w_f-w)/(G-epsilon*theta+h)-4-k-b_rms
train,bpe,tokenized_train_bpe.csv,1190,38,101,h_f=(c+h_net)^n+4*G-mu_0*z_net^--m_net+(alpha^n*gamma_f+A_2)/(2*e+u^+-mu)+int_0^b(G+psi^3+y^2+p^-1)dV
train,bpe,tokenized_train_bpe.csv,870,38,113,V=(4-k*A_rms-gamma_f^circ-d_1^+)/(c-epsilon_rms*r_1)+4+r^-1-g_max-(2/3*h+C_f+a_2+L)/(2/3*R+v^+)+partialF/partialx
train,bpe,tokenized_train_bpe.csv,9460,37,106,Q=sqrt(N_A+u^-1+y+epsilon_0)-1/2-h*c_1^2+p-sin(1+R+h^++b_f+c_min)+(N_A-F_0-B_2)/(3+h*epsilon_i^circ-A_0-B)
train,bpe,tokenized_train_bpe.csv,5010,37,123,A_rms=(2/3+e+beta_f+r_min+delta_max)^3+exp(c+v_1^-1+phi_max+v_i)+(e+R+W_min^--phi_0)/(N_A+alpha)-(4/3*e-alpha)/(4*mu-I_f^2)
train,char,tokenized_train_char.csv,885,134,134,W=(G*E_1+psi_avg)/(R-v_2^-1*x+a_rms)+(pi-a_min*lambda-a)/(k+Q^+*t)+(3-G-L_i+delta_max)/(k*beta_avg)-(h-alpha_max*w)/(v^circ*m_avg+B_i)
train,char,tokenized_train_char.csv,8375,130,130,R_1=(N_A+beta_min+delta^2)/(2*c_min*a_f)-(E_2^n)/(1+P-R^+*d)-(1/2+c+b+delta_1)^-1+(2/3*beta_2+sigma*epsilon)/(2*N_A+T_1-sigma+p_2)
train,char,tokenized_train_char.csv,7975,126,126,B_1=(3-h-s-Q)/(1+G*s_f^-+B^3*alpha_net)+(1/3+P_rms)^1/2-(2/3-R+mu_min*gamma^+-y)/(1/3-c+epsilon+V_net^2)+(G-tau)/(2+v_avg*c_i)
train,char,tokenized_train_char.csv,6535,126,126,B=log(4/3+R*phi+I_net^-1)+(4/3-sigma^circ*C_max+W)/(N_A+alpha_0*I_max)+(4/3+h*V)/(1/2*pi+lambda+E_max+W)-int(4/3+R+a+tau^-1)dr
train,char,tokenized_train_char.csv,5010,123,123,A_rms=(2/3+e+beta_f+r_min+delta_max)^3+exp(c+v_1^-1+phi_max+v_i)+(e+R+W_min^--phi_0)/(N_A+alpha)-(4/3*e-alpha)/(4*mu-I_f^2)
train,char,tokenized_train_char.csv,3160,122,122,h=exp(e+lambda)-(R*theta_net)/(beta^n*v_1*g)+(4/3+k+F*epsilon_net+V_1)/(k*Q_rms^2+u_net)-(2/3-G*A-r+gamma)/(4*h-t_i^+-E^*)
train,char,tokenized_train_char.csv,605,121,121,B=sum_j=1^N(1/2+e+r+T_1^3)+(1/2+e-sigma^++W_rms-gamma_0^2)/(h*g*R_f+mu_rms^n)-(R-epsilon+alpha_2^n+B_avg)/(N_A-W^*-d_max)
train,char,tokenized_train_char.csv,9315,121,121,p=(3*h-y+h+b)/(3-h-v*h_2+omega)+(1*k+L_avg*A^3+T_max)/(4-R-lambda_net-tau+z)+(d+V^-1*d_min)/(3*theta_2^+-W*x)-(2+w+z_1)^2
train,char,tokenized_train_char.csv,8285,120,120,a_net=(4/3*theta_f*lambda+y_1^*)/(beta+V_0+R_0^-1)+(R+L_net^-1+x+theta_2)^2+(3-mu_max+w^-1-F)/(1/2+N_A+p+C)-pi*E-sigma_1
train,char,tokenized_train_char.csv,145,120,120,m=(3+G+delta^3+T_min^*)^n-(h*c-Q_min+mu_1)/(1/3*N_A-epsilon+P_avg)+sqrt(k+delta^circ+omega_0+t^-1)-ln(4+c+C^*+P_f+psi_2)
train,char,tokenized_train_char.csv,3065,120,120,p=1*h*p_avg^3+x_0^n-4+pi-a-(k+m_f*w_rms+lambda)/(4/3*R_2^-+alpha-alpha^+)-(N_A-d_0-beta*E_f)/(R+lambda_min^*-Q_net+beta)
train,char,tokenized_train_char.csv,2940,119,119,a=(y_2+E_rms*omega)/(3*z)-(1/3*pi*delta*b*F_f)/(1/2-k-lambda_1^n*delta-x)-h+r^circ+(1/3*T_0^circ)/(e*r_f*mu_min^+*beta)
train,char,tokenized_train_char.csv,6190,118,118,g=e-omega_rms-B+tau+(pi*L+c_avg^-1)/(1/2*k*T_min*psi^n-b^+)+(R+omega_min+epsilon)^n+(4/3*pi+epsilon_1)/(1/2+delta-h^+)
train,char,tokenized_train_char.csv,4615,117,117,m_f=partialP/partialy-(R+lambda_2*a_max^-1)/(4/3-k+L)+(4/3+c*P_f-R_min^2+beta^n)/(1/3-pi-phi_min^circ*B^3)-h-s_2^circ
train,char,tokenized_train_char.csv,135,117,117,B=(1*N_A-h*sigma^++omega)/(R-E*epsilon)+int_L^inf(z+delta_min^circ+r)dt+sum_k=0^N(c+m+P^-1)-sqrt(N_A+sigma+a_1+y_2^n)
train,char,tokenized_train_char.csv,7790,114,114,E_i=(pi-R*phi_i^-1*E_0^2)/(4/3+G+a_avg-u-R^-)-(4+R+b^circ-W*psi_f)/(1/3-u+c)+tan(2/3+R*p-Q_min)+(pi*C-W^3)/(2-k*x)
train,char,tokenized_train_char.csv,870,113,113,V=(4-k*A_rms-gamma_f^circ-d_1^+)/(c-epsilon_rms*r_1)+4+r^-1-g_max-(2/3*h+C_f+a_2+L)/(2/3*R+v^+)+partialF/partialx
train,char,tokenized_train_char.csv,7350,112,112,p_2=(1/2+pi+sigma_rms^*)^n-(R+F_0^circ-tau*g_net)/(2/3+h*x_rms)+1/2+k-E-t-V_avg-(2/3+k+R_max)/(G*s^*-omega_f^-1)
train,char,tokenized_train_char.csv,1260,112,112,g=(2-e*beta*V_max^*)/(pi*V+V)+(4*pi-tau_min)/(N_A*psi_f^-)+(R+x+E_rms)^n+1+(E+gamma*theta_min)/(4-N_A*h^2+omega)
train,char,tokenized_train_char.csv,9355,112,112,a=(alpha_2+alpha_rms+omega_f)^n+(b)/(1/3-G*sigma_avg-W)+ln(3+L+v_net^n)-(4*G*epsilon_min*tau^n+omega_avg)/(pi*g)
train,hierarchical,tokenized_train_hierarchical.csv,885,251,134,W=(G*E_1+psi_avg)/(R-v_2^-1*x+a_rms)+(pi-a_min*lambda-a)/(k+Q^+*t)+(3-G-L_i+delta_max)/(k*beta_avg)-(h-alpha_max*w)/(v^circ*m_avg+B_i)
train,hierarchical,tokenized_train_hierarchical.csv,8375,243,130,R_1=(N_A+beta_min+delta^2)/(2*c_min*a_f)-(E_2^n)/(1+P-R^+*d)-(1/2+c+b+delta_1)^-1+(2/3*beta_2+sigma*epsilon)/(2*N_A+T_1-sigma+p_2)
train,hierarchical,tokenized_train_hierarchical.csv,6535,233,126,B=log(4/3+R*phi+I_net^-1)+(4/3-sigma^circ*C_max+W)/(N_A+alpha_0*I_max)+(4/3+h*V)/(1/2*pi+lambda+E_max+W)-int(4/3+R+a+tau^-1)dr
train,hierarchical,tokenized_train_hierarchical.csv,145,229,120,m=(3+G+delta^3+T_min^*)^n-(h*c-Q_min+mu_1)/(1/3*N_A-epsilon+P_avg)+sqrt(k+delta^circ+omega_0+t^-1)-ln(4+c+C^*+P_f+psi_2)
train,hierarchical,tokenized_train_hierarchical.csv,3160,227,122,h=exp(e+lambda)-(R*theta_net)/(beta^n*v_1*g)+(4/3+k+F*epsilon_net+V_1)/(k*Q_rms^2+u_net)-(2/3-G*A-r+gamma)/(4*h-t_i^+-E^*)
train,hierarchical,tokenized_train_hierarchical.csv,8285,221,120,a_net=(4/3*theta_f*lambda+y_1^*)/(beta+V_0+R_0^-1)+(R+L_net^-1+x+theta_2)^2+(3-mu_max+w^-1-F)/(1/2+N_A+p+C)-pi*E-sigma_1
train,hierarchical,tokenized_train_hierarchical.csv,4615,221,117,m_f=partialP/partialy-(R+lambda_2*a_max^-1)/(4/3-k+L)+(4/3+c*P_f-R_min^2+beta^n)/(1/3-pi-phi_min^circ*B^3)-h-s_2^circ
train,hierarchical,tokenized_train_hierarchical.csv,6190,217,118,g=e-omega_rms-B+tau+(pi*L+c_avg^-1)/(1/2*k*T_min*psi^n-b^+)+(R+omega_min+epsilon)^n+(4/3*pi+epsilon_1)/(1/2+delta-h^+)
train,hierarchical,tokenized_train_hierarchical.csv,9315,215,121,p=(3*h-y+h+b)/(3-h-v*h_2+omega)+(1*k+L_avg*A^3+T_max)/(4-R-lambda_net-tau+z)+(d+V^-1*d_min)/(3*theta_2^+-W*x)-(2+w+z_1)^2
train,hierarchical,tokenized_train_hierarchical.csv,9490,215,111,B_net=sin(h+psi+alpha_f^3+omega_i)+(3*k+omega_rms^2)/(3*pi+Q_2^+)+k-t_2*phi_f+I+(N_A*tau^3)/(G+r_min-sigma^+-p)
train,hierarchical,tokenized_train_hierarchical.csv,9355,211,112,a=(alpha_2+alpha_rms+omega_f)^n+(b)/(1/3-G*sigma_avg-W)+ln(3+L+v_net^n)-(4*G*epsilon_min*tau^n+omega_avg)/(pi*g)
train,hierarchical,tokenized_train_hierarchical.csv,7350,209,112,p_2=(1/2+pi+sigma_rms^*)^n-(R+F_0^circ-tau*g_net)/(2/3+h*x_rms)+1/2+k-E-t-V_avg-(2/3+k+R_max)/(G*s^*-omega_f^-1)
train,hierarchical,tokenized_train_hierarchical.csv,2940,207,119,a=(y_2+E_rms*omega)/(3*z)-(1/3*pi*delta*b*F_f)/(1/2-k-lambda_1^n*delta-x)-h+r^circ+(1/3*T_0^circ)/(e*r_f*mu_min^+*beta)
train,hierarchical,tokenized_train_hierarchical.csv,870,207,113,V=(4-k*A_rms-gamma_f^circ-d_1^+)/(c-epsilon_rms*r_1)+4+r^-1-g_max-(2/3*h+C_f+a_2+L)/(2/3*R+v^+)+partialF/partialx
train,hierarchical,tokenized_train_hierarchical.csv,6330,205,107,v_f=(psi*m_1^-1*F_net^-1)/(t_1+g_avg)-(4+pi*v*lambda_net-tau_0^n)/(2/3-c+tau^-1+E_max)-sin(psi_i+w_i+d_0^3)
train,hierarchical,tokenized_train_hierarchical.csv,8440,205,104,I_f=tan(m+t_f^n)-cos(2+N_A+t-epsilon_1)-(1/3+h+alpha^-1*P_2)/(e+gamma_rms+lambda-h_avg)-(pi+psi+A_net)^3
train,hierarchical,tokenized_train_hierarchical.csv,1055,205,105,P_0=(2/3*R-b_net^3-T*lambda)/(1/3-G+r_0-C_net^2*s)-dA/dx+int_L^b(4/3+N_A+gamma+delta)dt-alpha_max-epsilon
train,hierarchical,tokenized_train_hierarchical.csv,3800,203,104,W_i=cos(B+y_avg)+int_0^inf(1/2+h+theta^*+R_rms^+)dx-2-G+y_avg+mu^2-(4*c*b+c_2+phi^n)/(2*R+I^++tau+alpha)
train,hierarchical,tokenized_train_hierarchical.csv,8270,203,109,E=partialL/partialy-int_a^L(c+L+T)dx+(e+delta_i-W_net)/(4-N_A-E_2+n-z)+(G+y*p^*-Q_f^-1)/(R*z_f*u_1-phi_min^*)
