id,full_equation,complexity,full_equation_tokens_bpe,full_equation_token_ids
4000,A=partialL/partialt-(e+B_0*P)/(1/3+phi*P_1^circ-delta_min),5,A=partialL/partialt-(e+B_0*P)/(1/3+phi*P_1^circ-delta_min),"[317, 286, 143, 125, 608, 325, 491, 386, 66, 693, 386, 495, 480, 604, 539]"
6034,a_rms=partialA/partialx,4,a_rms=partialA/partialx,"[575, 280, 145]"
583,a=cos(delta+E),3,a=cos(delta+E),"[558, 234, 606, 344]"
9931,R=v,1,R=v,"[408, 738]"
7052,A_min=(1+W_min)^2,2,A_min=(1+W_min)^2,"[317, 538, 187, 432, 538, 89]"
8159,p_1=int_a^inf(h+mu+alpha+tau^*)dt,4,p_1=int_a^inf(h+mu+alpha+tau^*)dt,"[680, 495, 274, 631, 667, 578, 727, 441, 108]"
9897,F=F^n,2,F=F^n,"[354, 351, 483]"
2250,m=exp(2/3*R+R_f+x)-F-E+Q+(e-lambda^circ-m)/(m_max),5,m=exp(2/3*R+R_f+x)-F-E+Q+(e-lambda^circ-m)/(m_max),"[656, 258, 159, 406, 403, 520, 756, 49, 351, 124, 346, 395, 115, 609, 648, 480, 656, 57, 656, 532]"
4641,L=y_avg,1,L=y_avg,"[377, 773]"
9486,b=x,1,b=x,"[582, 756]"
4948,Q=log(1/2+k*h+w),3,Q=log(1/2+k*h+w),"[395, 277, 13, 645, 631, 753]"
9921,b=2/3-A_0,1,b=2/3-A_0,"[582, 166, 323]"
1964,a=sum_k=1^inf(4/3+k+w^-1+lambda_i+y_0),4,a=sum_k=1^inf(4/3+k+w^-1+lambda_i+y_0),"[558, 310, 222, 37, 646, 752, 460, 648, 528, 765, 489]"
8244,p=partialF/partialx,4,p=partialF/partialx,"[680, 284, 145]"
6591,E=omega_net,1,E=omega_net,"[347, 676, 545]"
8848,h=cos(2/3-pi+b*s),3,h=cos(2/3-pi+b*s),"[628, 234, 166, 696, 579, 111, 707]"
322,T_0=F_min^3,2,T_0=F_min^3,"[415, 488, 183, 357, 467]"
2679,a=partialC/partialx,4,a=partialC/partialx,"[566, 334, 145]"
4626,F=delta_avg,1,F=delta_avg,"[351, 251, 509]"
4950,z_min=exp(b)+1/2+pi+w,5,z_min=exp(b)+1/2+pi+w,"[774, 538, 258, 579, 43, 131, 696, 752]"
8329,x=sum_j=0^inf(v+beta),4,x=sum_j=0^inf(v+beta),"[756, 307, 207, 741, 590]"
3338,h=sqrt(2+R-sigma),3,h=sqrt(2+R-sigma),"[628, 302, 149, 407, 710]"
5590,L=(a_avg^2*beta_i)/(p+V^-)+(u_1-alpha^-+y)/(3+G+v^+*v)+dm/dt,5,L=(a_avg^2*beta_i)/(p+V^-)+(u_1-alpha^-+y)/(3+G+v^+*v)+dm/dt,"[378, 570, 464, 589, 526, 680, 116, 451, 41, 734, 500, 576, 454, 765, 75, 360, 738, 446, 113, 45, 656, 136]"
252,p=r^n,2,p=r^n,"[684, 702, 483]"
3974,n=int_a^inf(4+e+delta)dx,4,n=int_a^inf(4+e+delta)dx,"[669, 271, 481, 32, 608, 604, 109]"
6631,h=omega_max,1,h=omega_max,"[633, 676, 531]"
5548,a=cos(G*C),3,a=cos(G*C),"[558, 234, 359, 335]"
36,E=C,1,E=C,"[347, 334]"
8363,m_avg=cos(4+h+b+I),3,m_avg=cos(4+h+b+I),"[664, 235, 631, 581, 363]"
1514,a_avg=int_L^L(h+p+R)dV,4,a_avg=int_L^L(h+p+R)dV,"[570, 269, 631, 682, 403, 106]"
9318,g=sin(1/2+c+u_min),3,g=sin(1/2+c+u_min),"[617, 299, 15, 734, 539]"
40,p=sin(4*h-V_2*n_net-delta_avg)+(4/3+pi+x_0+omega_net)^n+(3+N_A+R_min+v_avg)^n,5,p=sin(4*h-V_2*n_net-delta_avg)+(4/3+pi+x_0+omega_net)^n+(3+N_A+R_min+v_avg)^n,"[680, 299, 31, 632, 424, 505, 669, 550, 604, 509, 42, 696, 756, 492, 676, 545, 100, 170, 403, 542, 748, 98]"
4820,E_f=(N_A+sigma+s)^n+1+dA/dx+c+beta*delta+exp(2/3+n_avg+z_i),5,E_f=(N_A+sigma+s)^n+1+dA/dx+c+beta*delta+exp(2/3+n_avg+z_i),"[343, 523, 384, 712, 706, 101, 120, 317, 140, 596, 591, 606, 616, 160, 669, 513, 774, 525]"
3466,g=V,1,g=V,"[621, 424]"
1761,F=epsilon,1,F=epsilon,"[354, 611]"
2305,R=(1+G+v_1)^1/2-(k+phi)/(R*b_0+r)-z_net^*+y_i,5,R=(1+G+v_1)^1/2-(k+phi)/(R*b_0+r)-z_net^*+y_i,"[403, 187, 360, 746, 88, 0, 646, 691, 57, 405, 579, 492, 702, 49, 774, 545, 444, 765, 524]"
3724,b_1=int_L^b(h^3+R^++W_avg)dr,4,b_1=int_L^b(h^3+R^++W_avg)dr,"[585, 270, 628, 470, 403, 449, 432, 509, 107]"
8285,a_net=(4/3*theta_f*lambda+y_1^*)/(beta+V_0+R_0^-1)+(R+L_net^-1+x+theta_2)^2+(3-mu_max+w^-1-F)/(1/2+N_A+p+C)-pi*E-sigma_1,5,a_net=(4/3*theta_f*lambda+y_1^*)/(beta+V_0+R_0^-1)+(R+L_net^-1+x+theta_2)^2+(3-mu_max+w^-1-F)/(1/2+N_A+p+C)-pi*E-sigma_1,"[558, 545, 201, 731, 519, 650, 772, 441, 57, 589, 116, 492, 403, 488, 456, 41, 406, 382, 460, 758, 731, 502, 91, 176, 665, 535, 752, 461, 351, 63, 384, 682, 334, 49, 695, 343, 124, 709, 495]"
4994,g=sum_n=1^N(h),4,g=sum_n=1^N(h),"[617, 313, 221, 629]"
8128,P=cos(k*u_min),3,P=cos(k*u_min),"[386, 234, 645, 734, 539]"
3033,n_1=exp(G+W+T_max),3,n_1=exp(G+W+T_max),"[669, 495, 258, 360, 435, 415, 532]"
7939,E_i=partialQ/partialr,4,E_i=partialQ/partialr,"[343, 524, 288, 142]"
3040,V_0=(2/3*W*L_0)/(c-a_max)+4/3*h-s-P+a^2-(4/3+pi+W_avg^*+F_rms)^-1,5,V_0=(2/3*W*L_0)/(c-a_max)+4/3*h-s-P+a^2-(4/3+pi+W_avg^*+F_rms)^-1,"[424, 494, 159, 434, 372, 490, 597, 573, 40, 177, 133, 632, 706, 124, 386, 117, 466, 37, 696, 432, 509, 444, 358, 84]"
9656,m=T_max,1,m=T_max,"[661, 421]"
2546,m=4+c,1,m=4+c,"[656, 228, 593]"
2593,W=ln(3+gamma+phi_rms),3,W=ln(3+gamma+phi_rms),"[432, 275, 168, 627, 691, 554]"
1189,y_0=sum_n=1^inf(3+e+delta_2+gamma+h_i),4,y_0=sum_n=1^inf(3+e+delta_2+gamma+h_i),"[765, 488, 313, 223, 168, 608, 604, 506, 627, 628, 525]"
7967,T=(2-theta_min)/(2*T),2,T=(2-theta_min)/(2*T),"[420, 158, 731, 540, 148, 416]"
6078,v=sin(1-G+z_f+m),3,v=sin(1-G+z_f+m),"[738, 299, 11, 360, 774, 520, 657]"
108,z=exp(Q_f+T),3,z=exp(Q_f+T),"[774, 258, 395, 520, 416]"
1316,V=psi,1,V=psi,"[428, 698]"
8188,F=tan(2*e+C),3,F=tan(2*e+C),"[351, 315, 148, 608, 335]"
2754,x_rms=int(G+L+v)dV,4,x_rms=int(G+L+v)dV,"[764, 261, 360, 372, 122, 106]"
9754,n_2=int(3+r_2+g+sigma)dx,4,n_2=int(3+r_2+g+sigma)dx,"[669, 502, 261, 168, 702, 506, 620, 709, 109]"
6232,I_0=(1/3*y_f)/(n),2,I_0=(1/3*y_f)/(n),"[368, 192, 765, 518, 670]"
2877,W=(3+m_rms)^2,2,W=(3+m_rms)^2,"[432, 197, 656, 553, 89]"
5324,b=dn/dx,4,b=dn/dx,"[579, 255, 139]"
800,E=(4+n_f)^n-cos(y_max^**delta^circ)+(1/2+h+m)^-1+exp(G+V^n),5,E=(4+n_f)^n-cos(y_max^**delta^circ)+(1/2+h+m)^-1+exp(G+V^n),"[343, 199, 669, 516, 104, 599, 765, 531, 443, 604, 476, 40, 17, 656, 85, 616, 360, 424, 484]"
3571,h=1*V,1,h=1*V,"[628, 211, 424]"
2895,T=G-t+delta+2*G-omega_1-sigma*lambda-cos(k*delta-I_0^*+u^circ),5,T=G-t+delta+2*G-omega_1-sigma*lambda-cos(k*delta-I_0^*+u^circ),"[419, 361, 723, 606, 148, 361, 676, 500, 711, 651, 599, 645, 604, 124, 368, 444, 734, 477]"
2928,p=log(3+E),3,p=log(3+E),"[680, 278, 168, 344]"
8179,y=int_a^inf(gamma)dx,4,y=int_a^inf(gamma)dx,"[765, 274, 625, 109]"
972,p_max=(1/3+A_net)/(a),2,p_max=(1/3+A_net)/(a),"[680, 531, 193, 317, 547, 559]"
6688,V=log(1/2-G*W-lambda_rms),3,V=log(1/2-G*W-lambda_rms),"[424, 277, 20, 359, 436, 648, 554]"
8576,n=beta,1,n=beta,"[672, 589]"
2021,W=2*I_0,1,W=2*I_0,"[437, 148, 368]"
9055,C_min=(phi^n-sigma*v)/(R-t*epsilon+E)+cos(h+alpha_i+epsilon_1^+)-(Q_2)/(1/2*G*n)-cos(1/2-c+omega*T),5,C_min=(phi^n-sigma*v)/(R-t*epsilon+E)+cos(h+alpha_i+epsilon_1^+)-(Q_2)/(1/2*G*n)-cos(1/2-c+omega*T),"[341, 184, 691, 487, 709, 113, 57, 407, 721, 111, 613, 343, 44, 631, 576, 528, 611, 495, 446, 50, 395, 502, 62, 359, 669, 49, 598, 20, 596, 676, 111, 416]"
953,b=log(2/3+R+b_0),3,b=log(2/3+R+b_0),"[579, 278, 163, 579, 489]"
5360,a_avg=1/2*z^*+w_1^circ-exp(c+I),5,a_avg=1/2*z^*+w_1^circ-exp(c+I),"[570, 214, 774, 444, 752, 495, 480, 616, 596, 363]"
3858,B=sin(4+I*epsilon),3,B=sin(4+I*epsilon),"[325, 299, 32, 364, 612]"
5862,T=(E_min)/(F),2,T=(E_min)/(F),"[420, 343, 540, 352]"
3146,v=1/2+b,1,v=1/2+b,"[738, 215, 579]"
3306,z=A_i,1,z=A_i,"[777, 324]"
3007,a=(t)/(2*m),2,a=(t)/(2*m),"[564, 721, 68, 657]"
9002,a_max=(2-F)/(1-s),2,a_max=(2-F)/(1-s),"[558, 537, 158, 351, 61, 707]"
7771,E=4/3*B,1,E=4/3*B,"[343, 230, 325]"
7439,E=int(1+R+m+h)dx,4,E=int(1+R+m+h)dx,"[343, 260, 5, 659, 628, 109]"
7943,g=sqrt(1-h*psi*a_max),3,g=sqrt(1-h*psi*a_max),"[617, 301, 11, 630, 698, 112, 532]"
9239,Q_1=sum_j=0^n(k+w_avg+E+T),4,Q_1=sum_j=0^n(k+w_avg+E+T),"[400, 308, 646, 752, 513, 346, 416]"
1057,g_max=(n)/(1*c),2,g_max=(n)/(1*c),"[617, 537, 669, 59, 594]"
3155,V=1/2+G+delta_rms-w_max-log(2/3+N_A+theta+C_max+lambda),5,V=1/2+G+delta_rms-w_max-log(2/3+N_A+theta+C_max+lambda),"[424, 215, 360, 604, 557, 752, 536, 655, 162, 733, 334, 535, 649]"
3788,n_i=ln(4/3+R+F),3,n_i=ln(4/3+R+F),"[669, 524, 275, 181, 406, 352]"
9190,C=(2/3+G+E+P^n+C_max)^2+partialP/partialt-c-A^*+Q_2^-+sin(2+G-a_1),5,C=(2/3+G+E+P^n+C_max)^2+partialP/partialt-c-A^*+Q_2^-+sin(2+G-a_1),"[334, 196, 360, 346, 386, 486, 340, 90, 690, 386, 143, 124, 597, 317, 444, 395, 502, 454, 714, 149, 361, 558, 496]"
7826,W=4/3-c,1,W=4/3-c,"[432, 232, 593]"
7540,v=(4/3+h+W_max+a)^n+sin(1/2+c+g_rms)-partialp/partialt,5,v=(4/3+h+W_max+a)^n+sin(1/2+c+g_rms)-partialp/partialt,"[738, 202, 631, 432, 531, 117, 99, 713, 15, 624, 55, 680, 143]"
7232,a=(x)/(2/3+lambda),2,a=(x)/(2/3+lambda),"[564, 756, 72, 649]"
765,a_max=log(R+W*V_i-w_avg)-(1/2-e*m)/(e-I)-1/2-k*C+int(1+k+I_min)dx,5,a_max=log(R+W*V_i-w_avg)-(1/2-e*m)/(e-I)-1/2-k*C+int(1+k+I_min)dx,"[573, 278, 406, 434, 424, 529, 752, 509, 49, 20, 607, 656, 57, 609, 362, 52, 132, 645, 336, 640, 9, 362, 538, 109]"
5020,p=(c-R*A+a)/(1/2+B_0)+(a_avg)/(k-a_2+W_1+C^+),5,p=(c-R*A+a)/(1/2+B_0)+(a_avg)/(k-a_2+W_1+C^+),"[685, 597, 405, 317, 117, 63, 325, 488, 41, 558, 511, 647, 558, 506, 432, 499, 334, 447]"
4904,T=sum_n=0^inf(k+omega_1+mu_i+w),4,T=sum_n=0^inf(k+omega_1+mu_i+w),"[415, 313, 207, 646, 676, 499, 665, 528, 753]"
8094,v=sum_j=1^inf(e+d+w_1+tau_min^circ),4,v=sum_j=1^inf(e+d+w_1+tau_min^circ),"[738, 307, 223, 608, 602, 752, 499, 727, 538, 477]"
6844,b=int_0^inf(G+n_i)dr,4,b=int_0^inf(G+n_i)dr,"[579, 267, 360, 669, 524, 107]"
2166,v=4+u,1,v=4+u,"[738, 228, 734]"
1863,x=log(1/2+c+T),3,x=log(1/2+c+T),"[756, 277, 15, 416]"
7851,n=1+lambda_min,1,n=1+lambda_min,"[669, 212, 648, 538]"
9124,z_net=dA/dt,4,z_net=dA/dt,"[774, 545, 237, 136]"
2341,R=2/3-V_net,1,R=2/3-V_net,"[408, 166, 424, 545]"
5528,R=tan(pi*I),3,R=tan(pi*I),"[403, 315, 695, 363]"
6744,b_min=partialm/partialy,4,b_min=partialm/partialy,"[579, 538, 295, 146]"
4004,P=partialV/partialt,4,P=partialV/partialt,"[386, 279, 424, 143]"
1124,x_1=dW/dx,4,x_1=dW/dx,"[756, 495, 248, 139]"
8710,z=(pi-y-mu_max)/(1*e+gamma_0)+log(mu+P)+log(c+b_i+v_i)+(3+g_i+n+W_2)^n,5,z=(pi-y-mu_max)/(1*e+gamma_0)+log(mu+P)+log(c+b_i+v_i)+(3+g_i+n+W_2)^n,"[778, 697, 769, 665, 531, 59, 608, 625, 488, 40, 655, 667, 386, 40, 655, 596, 586, 122, 524, 41, 168, 617, 528, 671, 432, 502, 98]"
4050,I_min=(1/3*k-psi+g_2*lambda)/(Q_max-P^2-v_min)+sqrt(c+c_min*theta_rms^+)+dI/dx,5,I_min=(1/3*k-psi+g_2*lambda)/(Q_max-P^2-v_min)+sqrt(c+c_min*theta_rms^+)+dI/dx,"[362, 538, 192, 647, 700, 617, 505, 648, 57, 395, 536, 386, 466, 749, 40, 716, 596, 593, 541, 731, 553, 446, 45, 362, 139]"
7641,n=theta_net,1,n=theta_net,"[672, 731, 545]"
766,g=P,1,g=P,"[621, 386]"
2345,P=k*c_1-a_1+(4+u)^3-(c*V_i-A)/(1/3*N_A-r-gamma*L)+int_L^b(1/2+c+B^-1+alpha+z)dt,5,P=k*c_1-a_1+(4+u)^3-(c*V_i-A)/(1/3*N_A-r-gamma*L)+int_L^b(1/2+c+B^-1+alpha+z)dt,"[390, 645, 593, 500, 558, 499, 32, 734, 97, 595, 424, 529, 317, 65, 385, 705, 625, 111, 372, 40, 643, 474, 15, 325, 460, 578, 774, 108]"
4072,x=(1/3+lambda)^2,2,x=(1/3+lambda)^2,"[756, 193, 648, 89]"
7217,p=(4-b)/(beta),2,p=(4-b)/(beta),"[680, 200, 579, 57, 590]"
4217,A=(2/3+R)^2,2,A=(2/3+R)^2,"[317, 196, 403, 89]"
7953,I=sin(1+W+delta),3,I=sin(1+W+delta),"[362, 299, 3, 435, 605]"
5971,L=3+P,1,L=3+P,"[377, 168, 386]"
3351,V=2/3-Q,1,V=2/3-Q,"[428, 166, 395]"
4696,a=2/3*b,1,a=2/3*b,"[563, 159, 579]"
3400,W=c^+*psi_2+sqrt(G+y)+dn/dt,5,W=c^+*psi_2+sqrt(G+y)+dn/dt,"[437, 593, 448, 698, 506, 716, 360, 765, 45, 669, 136]"
4082,b=(1/2*t)/(1/2+W),2,b=(1/2*t)/(1/2+W),"[579, 189, 721, 63, 433]"
9150,z=exp(p_i+mu_i+mu_1)-4/3+t-E*sigma^-,5,z=exp(p_i+mu_i+mu_1)-4/3+t-E*sigma^-,"[774, 258, 680, 528, 665, 528, 665, 495, 49, 181, 724, 345, 709, 451]"
1225,a=(y-t_net)/(4-c-a*r^-)+(epsilon_0+gamma_f+y)^1/2,5,a=(y-t_net)/(4-c-a*r^-)+(epsilon_0+gamma_f+y)^1/2,"[564, 769, 721, 545, 80, 597, 560, 702, 451, 41, 611, 492, 625, 520, 765, 86]"
6293,z=tan(h-tau),3,z=tan(h-tau),"[774, 315, 632, 728]"
3123,F=tan(k+W+C_rms),3,F=tan(k+W+C_rms),"[351, 315, 646, 435, 334, 554]"
511,x=b_1,1,x=b_1,"[760, 585]"
5795,L=tan(1-c+h)-sum_n=1^inf(N_A+C^3)+dP/dx,5,L=tan(1-c+h)-sum_n=1^inf(N_A+C^3)+dP/dx,"[377, 725, 11, 596, 628, 49, 720, 223, 384, 334, 467, 45, 386, 139]"
8182,x=(omega)/(2/3-a),2,x=(omega)/(2/3-a),"[761, 676, 73, 559]"
9418,x=exp(1+G-y+phi),3,x=exp(1+G-y+phi),"[756, 257, 3, 361, 768, 692]"
97,x=(1/2+A_min)^3,2,x=(1/2+A_min)^3,"[756, 190, 317, 538, 94]"
6682,v=delta^3,2,v=delta^3,"[738, 251, 467]"
1513,C=sqrt(2/3+v),3,C=sqrt(2/3+v),"[334, 302, 160, 739]"
8792,P=C^3,2,P=C^3,"[390, 334, 467]"
120,a=sum_n=1^inf(k+F+p_avg^n)+(2/3+k+I^-+W_avg)^2+V^n+1-(R+A+omega+v_avg)^-1,5,a=sum_n=1^inf(k+F+p_avg^n)+(2/3+k+I^-+W_avg)^2+V^n+1-(R+A+omega+v_avg)^-1,"[558, 313, 223, 646, 353, 687, 483, 41, 165, 362, 454, 432, 509, 90, 424, 486, 147, 125, 406, 319, 676, 122, 509, 84]"
7792,L_rms=(1/3+E)^2,2,L_rms=(1/3+E)^2,"[372, 553, 193, 343, 89]"
6518,R=cos(1/3+k+h_2),3,R=cos(1/3+k+h_2),"[403, 233, 27, 628, 503]"
34,C_f=sum_k=0^inf(N_A+A_avg+m+sigma),4,C_f=sum_k=0^inf(N_A+A_avg+m+sigma),"[334, 516, 311, 384, 317, 513, 659, 710]"
7888,g=exp(h+lambda*C),3,g=exp(h+lambda*C),"[617, 258, 631, 648, 111, 335]"
6831,F=E,1,F=E,"[354, 343]"
5422,C=b^n,2,C=b^n,"[337, 579, 483]"
1069,p=da/dx,4,p=da/dx,"[680, 250]"
1348,z_0=cos(1+E-v),3,z_0=cos(1+E-v),"[774, 488, 233, 3, 343, 124, 739]"
4748,n=ln(4/3+R+theta+epsilon_net),3,n=ln(4/3+R+theta+epsilon_net),"[669, 275, 181, 406, 733, 611, 546]"
6006,p=1/3-r,1,p=1/3-r,"[680, 219, 702]"
6040,y=1/3+N_A-a_0^*+ln(e*alpha*psi_i),5,y=1/3+N_A-a_0^*+ln(e*alpha*psi_i),"[765, 218, 385, 567, 444, 653, 607, 576, 111, 698, 525]"
3818,A_net=cos(h+n_1+V),3,A_net=cos(h+n_1+V),"[317, 545, 234, 631, 669, 499, 425]"
8447,b_rms=p^n,2,b_rms=p^n,"[588, 183, 680, 483]"
5270,Q_1=(2*R*p)/(a_avg^2+gamma_avg)+(N_A+psi_net^*+x+epsilon)^n,5,Q_1=(2*R*p)/(a_avg^2+gamma_avg)+(N_A+psi_net^*+x+epsilon)^n,"[395, 501, 148, 405, 680, 57, 570, 465, 625, 509, 41, 384, 698, 545, 444, 758, 611, 98]"
6898,C_max=sqrt(r_2+F),3,C_max=sqrt(r_2+F),"[340, 302, 702, 506, 352]"
5310,T_i=tan(2/3+V^*+a+psi_0)-(2/3+N_A+n^2+omega+W_rms)^2-sin(2+k-C^3)+4+k+t_i*lambda_max-a_min^circ,5,T_i=tan(2/3+V^*+a+psi_0)-(2/3+N_A+n^2+omega+W_rms)^2-sin(2+k-C^3)+4+k+t_i*lambda_max-a_min^circ,"[415, 524, 315, 160, 424, 441, 119, 698, 488, 50, 162, 669, 465, 678, 432, 553, 92, 714, 149, 647, 334, 467, 40, 179, 646, 721, 527, 648, 536, 574, 476]"
32,Q_avg=(1/2+A_1)^3,2,Q_avg=(1/2+A_1)^3,"[401, 190, 317, 495, 94]"
5675,A_rms=N_A-C-a_1-b_2-(2/3+e+mu_i^circ+n_min^-1)^1/2-G*g+4/3*pi+a*w^*-y_1,5,A_rms=N_A-C-a_1-b_2-(2/3+e+mu_i^circ+n_min^-1)^1/2-G*g+4/3*pi+a*w^*-y_1,"[317, 553, 183, 385, 334, 124, 558, 500, 579, 502, 125, 164, 665, 524, 479, 674, 456, 88, 359, 620, 177, 133, 696, 560, 752, 445, 772]"
4387,p=(x)/(T_1),2,p=(x)/(T_1),"[685, 756, 57, 415, 496]"
30,F=exp(beta+delta_1+T_2)-tan(R+d+m_0^circ)-(1-h*m_i)/(4*G-n_1-n_1)+(h+sigma_net^2)/(k-w_0^-),5,F=exp(beta+delta_1+T_2)-tan(R+d+m_0^circ)-(1-h*m_i)/(4*G-n_1-n_1)+(h+sigma_net^2)/(k-w_0^-),"[351, 258, 592, 604, 499, 415, 502, 56, 406, 602, 663, 476, 49, 11, 630, 656, 524, 78, 361, 669, 500, 669, 495, 41, 631, 709, 545, 462, 57, 647, 752, 488, 452]"
4203,P_i=tan(2+c+a),3,P_i=tan(2+c+a),"[394, 315, 153, 559]"
7508,R=sqrt(c*A-a),3,R=sqrt(c*A-a),"[403, 302, 595, 320, 559]"
736,I=I,1,I=I,"[366, 362]"
2068,C_avg=ln(N_A*a-epsilon_0),3,C_avg=ln(N_A*a-epsilon_0),"[339, 275, 383, 562, 611, 489]"
107,T=(2/3+V)^3,2,T=(2/3+V)^3,"[415, 196, 424, 94]"
9645,p=(2+G-P+t+omega)/(1/3-n_max-z)-(2/3+R+theta_max^2+w)^n+1+c-alpha+x_min+alpha+partialC/partialx,5,p=(2+G-P+t+omega)/(1/3-n_max-z)-(2/3+R+theta_max^2+w)^n+1+c-alpha+x_min+alpha+partialC/partialx,"[680, 195, 361, 386, 121, 114, 676, 67, 669, 536, 774, 50, 163, 731, 531, 465, 752, 102, 597, 578, 756, 542, 578, 690, 334, 145]"
8895,R_i=int(beta)dr-sum_n=0^N(1+c+psi_i)+cos(3+h+z_1)+4/3*R+n_2^n,5,R_i=int(beta)dr-sum_n=0^N(1+c+psi_i)+cos(3+h+z_1)+4/3*R+n_2^n,"[411, 261, 589, 107, 124, 720, 204, 6, 698, 524, 44, 173, 774, 495, 40, 177, 133, 406, 669, 502, 483]"
8021,v=u,1,v=u,"[743, 734]"
2233,h=sqrt(2+k+b_2),3,h=sqrt(2+k+b_2),"[628, 302, 156, 579, 503]"
994,h=partialT/partialy,4,h=partialT/partialy,"[628, 290, 146]"
9413,B=exp(e-theta),3,B=exp(e-theta),"[325, 258, 609, 732]"
7059,m=int_a^b(G+gamma_net)dt,4,m=int_a^b(G+gamma_net)dt,"[656, 273, 360, 625, 545, 108]"
6790,W=dL/dt-sin(c+B),5,W=dL/dt-sin(c+B),"[432, 241, 138, 714, 596, 326]"
361,V=2/3*E_avg,1,V=2/3*E_avg,"[428, 159, 343, 509]"
305,I=G*t*lambda-u-log(4-E_net^3+epsilon*W_2)-2/3+pi*h_net^2-(delta-x+omega^+)/(1/3+pi-w*B^2*F_max),5,I=G*t*lambda-u-log(4-E_net^3+epsilon*W_2)-2/3+pi*h_net^2-(delta-x+omega^+)/(1/3+pi-w*B^2*F_max),"[366, 359, 721, 111, 651, 737, 654, 35, 343, 545, 470, 611, 111, 432, 502, 49, 160, 695, 628, 545, 466, 0, 604, 124, 758, 676, 446, 66, 697, 754, 325, 464, 351, 532]"
2628,v=tan(h-epsilon*v),3,v=tan(h-epsilon*v),"[738, 315, 632, 611, 113, 39]"
8966,V=W_f,1,V=W_f,"[428, 439]"
4514,x=dA/dx,4,x=dA/dx,"[756, 237, 139]"
5911,B=F,1,B=F,"[328, 351]"
8314,W_min=partialn/partialy,4,W_min=partialn/partialy,"[432, 538, 296, 146]"
3101,x=L,1,x=L,"[760, 372]"
5704,m=partialC/partialy,4,m=partialC/partialy,"[656, 282, 146]"
3899,p=int(4/3+pi+gamma^-+alpha+g)dt,4,p=int(4/3+pi+gamma^-+alpha+g)dt,"[680, 262, 696, 625, 454, 578, 617, 108]"
5441,Q=B,1,Q=B,"[398, 325]"
7931,W=1+t,1,W=1+t,"[432, 210, 121]"
622,W=(3+epsilon_min)^3,2,W=(3+epsilon_min)^3,"[432, 197, 611, 538, 94]"
7236,Q=tau,1,Q=tau,"[398, 727]"
2499,I=partialB/partialt,4,I=partialB/partialt,"[362, 281, 143]"
714,F=partialV/partialx,4,F=partialV/partialx,"[351, 279, 424, 145]"
8404,A=int(2+k+z)dr,4,A=int(2+k+z)dr,"[317, 261, 156, 774, 107]"
2856,Q=4/3+b,1,Q=4/3+b,"[395, 231, 579]"
4270,p=(pi+alpha_max)/(1/2+e-d^-)+(c+sigma^3)/(1/2*N_A+psi-n),5,p=(pi+alpha_max)/(1/2+e-d^-)+(c+sigma^3)/(1/2*N_A+psi-n),"[685, 696, 576, 531, 63, 609, 600, 451, 41, 596, 709, 467, 62, 384, 701, 670]"
2909,P=sum_n=0^n(pi+C),4,P=sum_n=0^n(pi+C),"[386, 313, 209, 696, 335]"
8081,z=2*B,1,z=2*B,"[777, 148, 325]"
4517,b=n^3,2,b=n^3,"[582, 669, 467]"
