id,full_equation,complexity,full_equation_tokens_hier,full_equation_token_ids
2751,W=lambda,1,<EXPR_START> <ASSIGN_START> IDENT:W = <MUL_START> IDENT:l * IDENT:a * IDENT:m * IDENT:b * IDENT:d * IDENT:a <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 65, 14, 6, 30, 4, 7, 4, 21, 4, 44, 4, 38, 4, 7, 5, 12, 10]"
7488,x=cos(2+G+c_1+beta_f),3,<EXPR_START> <ASSIGN_START> IDENT:x = <MUL_START> IDENT:c * IDENT:o * IDENT:s * <PAREN_START> <ADD_START> NUMBER:2 + IDENT:G + <MUL_START> IDENT:c * UNKNOWN:_ * NUMBER:1 <MUL_END> + <MUL_START> IDENT:b * IDENT:e * IDENT:t * IDENT:a * UNKNOWN:_ * IDENT:f <MUL_END> <ADD_END> <PAREN_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 40, 14, 6, 42, 4, 45, 4, 27, 4, 18, 16, 29, 8, 70, 8, 6, 42, 4, 9, 4, 37, 5, 8, 6, 44, 4, 28, 4, 20, 4, 7, 4, 9, 4, 51, 5, 15, 17, 5, 12, 10]"
5273,E=log(pi+W_rms+v_0),3,<EXPR_START> <ASSIGN_START> IDENT:E = <MUL_START> IDENT:l * IDENT:o * IDENT:g * <PAREN_START> <ADD_START> <MUL_START> IDENT:p * IDENT:i <MUL_END> + <MUL_START> IDENT:W * UNKNOWN:_ * IDENT:r * IDENT:m * IDENT:s <MUL_END> + <MUL_START> IDENT:v * UNKNOWN:_ * NUMBER:0 <MUL_END> <ADD_END> <PAREN_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 58, 14, 6, 30, 4, 45, 4, 36, 4, 18, 16, 6, 25, 4, 19, 5, 8, 6, 65, 4, 9, 4, 34, 4, 21, 4, 27, 5, 8, 6, 41, 4, 9, 4, 52, 5, 15, 17, 5, 12, 10]"
5654,x=int(psi_avg+lambda_rms+t_rms)dr,4,<EXPR_START> <ASSIGN_START> IDENT:x = <MUL_START> IDENT:i * IDENT:n * IDENT:t * <PAREN_START> <ADD_START> <MUL_START> IDENT:p * IDENT:s * IDENT:i * UNKNOWN:_ * IDENT:a * IDENT:v * IDENT:g <MUL_END> + <MUL_START> IDENT:l * IDENT:a * IDENT:m * IDENT:b * IDENT:d * IDENT:a * UNKNOWN:_ * IDENT:r * IDENT:m * IDENT:s <MUL_END> + <MUL_START> IDENT:t * UNKNOWN:_ * IDENT:r * IDENT:m * IDENT:s <MUL_END> <ADD_END> <PAREN_END> * IDENT:d * IDENT:r <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 40, 14, 6, 19, 4, 22, 4, 20, 4, 18, 16, 6, 25, 4, 27, 4, 19, 4, 9, 4, 7, 4, 41, 4, 36, 5, 8, 6, 30, 4, 7, 4, 21, 4, 44, 4, 38, 4, 7, 4, 9, 4, 34, 4, 21, 4, 27, 5, 8, 6, 20, 4, 9, 4, 34, 4, 21, 4, 27, 5, 15, 17, 4, 38, 4, 34, 5, 12, 10]"
4000,A=partialL/partialt-(e+B_0*P)/(1/3+phi*P_1^circ-delta_min),5,<EXPR_START> <ASSIGN_START> IDENT:A = <ADD_START> <MUL_START> IDENT:p * IDENT:a * IDENT:r * IDENT:t * IDENT:i * IDENT:a * IDENT:l * IDENT:L / IDENT:p * IDENT:a * IDENT:r * IDENT:t * IDENT:i * IDENT:a * IDENT:l * IDENT:t <MUL_END> - <MUL_START> <PAREN_START> <ADD_START> IDENT:e + <MUL_START> IDENT:B * UNKNOWN:_ * NUMBER:0 * IDENT:P <MUL_END> <ADD_END> <PAREN_END> / <PAREN_START> <ADD_START> <MUL_START> NUMBER:1 / NUMBER:3 <MUL_END> + <MUL_START> IDENT:p * IDENT:h * IDENT:i * IDENT:P * UNKNOWN:_ * <POW_START> NUMBER:1 ^ IDENT:c <POW_END> * IDENT:i * IDENT:r * IDENT:c <MUL_END> - <MUL_START> IDENT:d * IDENT:e * IDENT:l * IDENT:t * IDENT:a * UNKNOWN:_ * IDENT:m * IDENT:i * IDENT:n <MUL_END> <ADD_END> <PAREN_END> <MUL_END> <ADD_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 47, 14, 16, 6, 25, 4, 7, 4, 34, 4, 20, 4, 19, 4, 7, 4, 30, 4, 50, 23, 25, 4, 7, 4, 34, 4, 20, 4, 19, 4, 7, 4, 30, 4, 20, 5, 26, 6, 18, 16, 28, 8, 6, 64, 4, 9, 4, 52, 4, 57, 5, 15, 17, 23, 18, 16, 6, 37, 23, 35, 5, 8, 6, 25, 4, 39, 4, 19, 4, 57, 4, 9, 4, 32, 37, 33, 42, 31, 4, 19, 4, 34, 4, 42, 5, 26, 6, 38, 4, 28, 4, 30, 4, 20, 4, 7, 4, 9, 4, 21, 4, 19, 4, 22, 5, 15, 17, 5, 15, 12, 10]"
6034,a_rms=partialA/partialx,4,<EXPR_START> <ASSIGN_START> <MUL_START> IDENT:a * UNKNOWN:_ * IDENT:r * IDENT:m * IDENT:s <MUL_END> = <MUL_START> IDENT:p * IDENT:a * IDENT:r * IDENT:t * IDENT:i * IDENT:a * IDENT:l * IDENT:A / IDENT:p * IDENT:a * IDENT:r * IDENT:t * IDENT:i * IDENT:a * IDENT:l * IDENT:x <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 6, 7, 4, 9, 4, 34, 4, 21, 4, 27, 5, 14, 6, 25, 4, 7, 4, 34, 4, 20, 4, 19, 4, 7, 4, 30, 4, 47, 23, 25, 4, 7, 4, 34, 4, 20, 4, 19, 4, 7, 4, 30, 4, 40, 5, 12, 10]"
583,a=cos(delta+E),3,<EXPR_START> <ASSIGN_START> IDENT:a = <MUL_START> IDENT:c * IDENT:o * IDENT:s * <PAREN_START> <ADD_START> <MUL_START> IDENT:d * IDENT:e * IDENT:l * IDENT:t * IDENT:a <MUL_END> + IDENT:E <ADD_END> <PAREN_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 7, 14, 6, 42, 4, 45, 4, 27, 4, 18, 16, 6, 38, 4, 28, 4, 30, 4, 20, 4, 7, 5, 8, 58, 15, 17, 5, 12, 10]"
9931,R=v,1,<EXPR_START> <ASSIGN_START> IDENT:R = IDENT:v <ASSIGN_END> <EXPR_END>,"[11, 13, 46, 14, 41, 12, 10]"
7052,A_min=(1+W_min)^2,2,<EXPR_START> <ASSIGN_START> <MUL_START> IDENT:A * UNKNOWN:_ * IDENT:m * IDENT:i * IDENT:n <MUL_END> = <POW_START> <PAREN_START> <ADD_START> NUMBER:1 + <MUL_START> IDENT:W * UNKNOWN:_ * IDENT:m * IDENT:i * IDENT:n <MUL_END> <ADD_END> <PAREN_END> ^ NUMBER:2 <POW_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 6, 47, 4, 9, 4, 21, 4, 19, 4, 22, 5, 14, 32, 18, 16, 37, 8, 6, 65, 4, 9, 4, 21, 4, 19, 4, 22, 5, 15, 17, 33, 29, 31, 12, 10]"
8159,p_1=int_a^inf(h+mu+alpha+tau^*)dt,4,<EXPR_START> <ASSIGN_START> <MUL_START> IDENT:p * UNKNOWN:_ * NUMBER:1 <MUL_END> = <MUL_START> IDENT:i * IDENT:n * IDENT:t * UNKNOWN:_ * <POW_START> IDENT:a ^ IDENT:i <POW_END> * IDENT:n * IDENT:f * <PAREN_START> <ADD_START> IDENT:h + <MUL_START> IDENT:m * IDENT:u <MUL_END> + <MUL_START> IDENT:a * IDENT:l * IDENT:p * IDENT:h * IDENT:a <MUL_END> + <MUL_START> IDENT:t * IDENT:a * <POW_START> IDENT:u ^ UNKNOWN:* <POW_END> <MUL_END> <ADD_END> <PAREN_END> * IDENT:d * IDENT:t <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 6, 25, 4, 9, 4, 37, 5, 14, 6, 19, 4, 22, 4, 20, 4, 9, 4, 32, 7, 33, 19, 31, 4, 22, 4, 51, 4, 18, 16, 39, 8, 6, 21, 4, 43, 5, 8, 6, 7, 4, 30, 4, 25, 4, 39, 4, 7, 5, 8, 6, 20, 4, 7, 4, 32, 43, 33, 77, 31, 5, 15, 17, 4, 38, 4, 20, 5, 12, 10]"
9897,F=F^n,2,<EXPR_START> <ASSIGN_START> IDENT:F = <POW_START> IDENT:F ^ IDENT:n <POW_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 61, 14, 32, 61, 33, 22, 31, 12, 10]"
2250,m=exp(2/3*R+R_f+x)-F-E+Q+(e-lambda^circ-m)/(m_max),5,<EXPR_START> <ASSIGN_START> IDENT:m = <ADD_START> <MUL_START> IDENT:e * IDENT:x * IDENT:p * <PAREN_START> <ADD_START> <MUL_START> NUMBER:2 / NUMBER:3 * IDENT:R <MUL_END> + <MUL_START> IDENT:R * UNKNOWN:_ * IDENT:f <MUL_END> + IDENT:x <ADD_END> <PAREN_END> <MUL_END> - IDENT:F - IDENT:E + IDENT:Q + <MUL_START> <PAREN_START> <ADD_START> IDENT:e - <MUL_START> IDENT:l * IDENT:a * IDENT:m * IDENT:b * IDENT:d * <POW_START> IDENT:a ^ IDENT:c <POW_END> * IDENT:i * IDENT:r * IDENT:c <MUL_END> - IDENT:m <ADD_END> <PAREN_END> / <PAREN_START> <MUL_START> IDENT:m * UNKNOWN:_ * IDENT:m * IDENT:a * IDENT:x <MUL_END> <PAREN_END> <MUL_END> <ADD_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 21, 14, 16, 6, 28, 4, 40, 4, 25, 4, 18, 16, 6, 29, 23, 35, 4, 46, 5, 8, 6, 46, 4, 9, 4, 51, 5, 8, 40, 15, 17, 5, 26, 61, 26, 58, 8, 59, 8, 6, 18, 16, 28, 26, 6, 30, 4, 7, 4, 21, 4, 44, 4, 38, 4, 32, 7, 33, 42, 31, 4, 19, 4, 34, 4, 42, 5, 26, 21, 15, 17, 23, 18, 6, 21, 4, 9, 4, 21, 4, 7, 4, 40, 5, 17, 5, 15, 12, 10]"
4641,L=y_avg,1,<EXPR_START> <ASSIGN_START> IDENT:L = <MUL_START> IDENT:y * UNKNOWN:_ * IDENT:a * IDENT:v * IDENT:g <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 50, 14, 6, 54, 4, 9, 4, 7, 4, 41, 4, 36, 5, 12, 10]"
9486,b=x,1,<EXPR_START> <ASSIGN_START> IDENT:b = IDENT:x <ASSIGN_END> <EXPR_END>,"[11, 13, 44, 14, 40, 12, 10]"
4948,Q=log(1/2+k*h+w),3,<EXPR_START> <ASSIGN_START> IDENT:Q = <MUL_START> IDENT:l * IDENT:o * IDENT:g * <PAREN_START> <ADD_START> <MUL_START> NUMBER:1 / NUMBER:2 <MUL_END> + <MUL_START> IDENT:k * IDENT:h <MUL_END> + IDENT:w <ADD_END> <PAREN_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 59, 14, 6, 30, 4, 45, 4, 36, 4, 18, 16, 6, 37, 23, 29, 5, 8, 6, 66, 4, 39, 5, 8, 74, 15, 17, 5, 12, 10]"
9921,b=2/3-A_0,1,<EXPR_START> <ASSIGN_START> IDENT:b = <ADD_START> <MUL_START> NUMBER:2 / NUMBER:3 <MUL_END> - <MUL_START> IDENT:A * UNKNOWN:_ * NUMBER:0 <MUL_END> <ADD_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 44, 14, 16, 6, 29, 23, 35, 5, 26, 6, 47, 4, 9, 4, 52, 5, 15, 12, 10]"
1964,a=sum_k=1^inf(4/3+k+w^-1+lambda_i+y_0),4,<EXPR_START> <ASSIGN_START> IDENT:a = <MUL_START> IDENT:s * IDENT:u * IDENT:m * UNKNOWN:_ * IDENT:k <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 7, 14, 6, 27, 4, 43, 4, 21, 4, 9, 4, 66, 5, 12, 10]"
8244,p=partialF/partialx,4,<EXPR_START> <ASSIGN_START> IDENT:p = <MUL_START> IDENT:p * IDENT:a * IDENT:r * IDENT:t * IDENT:i * IDENT:a * IDENT:l * IDENT:F / IDENT:p * IDENT:a * IDENT:r * IDENT:t * IDENT:i * IDENT:a * IDENT:l * IDENT:x <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 25, 14, 6, 25, 4, 7, 4, 34, 4, 20, 4, 19, 4, 7, 4, 30, 4, 61, 23, 25, 4, 7, 4, 34, 4, 20, 4, 19, 4, 7, 4, 30, 4, 40, 5, 12, 10]"
6591,E=omega_net,1,<EXPR_START> <ASSIGN_START> IDENT:E = <MUL_START> IDENT:o * IDENT:m * IDENT:e * IDENT:g * IDENT:a * UNKNOWN:_ * IDENT:n * IDENT:e * IDENT:t <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 58, 14, 6, 45, 4, 21, 4, 28, 4, 36, 4, 7, 4, 9, 4, 22, 4, 28, 4, 20, 5, 12, 10]"
8848,h=cos(2/3-pi+b*s),3,<EXPR_START> <ASSIGN_START> IDENT:h = <MUL_START> IDENT:c * IDENT:o * IDENT:s * <PAREN_START> <ADD_START> <MUL_START> NUMBER:2 / NUMBER:3 <MUL_END> - <MUL_START> IDENT:p * IDENT:i <MUL_END> + <MUL_START> IDENT:b * IDENT:s <MUL_END> <ADD_END> <PAREN_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 39, 14, 6, 42, 4, 45, 4, 27, 4, 18, 16, 6, 29, 23, 35, 5, 26, 6, 25, 4, 19, 5, 8, 6, 44, 4, 27, 5, 15, 17, 5, 12, 10]"
322,T_0=F_min^3,2,<EXPR_START> <ASSIGN_START> <MUL_START> IDENT:T * UNKNOWN:_ * NUMBER:0 <MUL_END> = <MUL_START> IDENT:F * UNKNOWN:_ * IDENT:m * IDENT:i * <POW_START> IDENT:n ^ NUMBER:3 <POW_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 6, 56, 4, 9, 4, 52, 5, 14, 6, 61, 4, 9, 4, 21, 4, 19, 4, 32, 22, 33, 35, 31, 5, 12, 10]"
2679,a=partialC/partialx,4,<EXPR_START> <ASSIGN_START> IDENT:a = <MUL_START> IDENT:p * IDENT:a * IDENT:r * IDENT:t * IDENT:i * IDENT:a * IDENT:l * IDENT:C / IDENT:p * IDENT:a * IDENT:r * IDENT:t * IDENT:i * IDENT:a * IDENT:l * IDENT:x <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 7, 14, 6, 25, 4, 7, 4, 34, 4, 20, 4, 19, 4, 7, 4, 30, 4, 60, 23, 25, 4, 7, 4, 34, 4, 20, 4, 19, 4, 7, 4, 30, 4, 40, 5, 12, 10]"
4626,F=delta_avg,1,<EXPR_START> <ASSIGN_START> IDENT:F = <MUL_START> IDENT:d * IDENT:e * IDENT:l * IDENT:t * IDENT:a * UNKNOWN:_ * IDENT:a * IDENT:v * IDENT:g <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 61, 14, 6, 38, 4, 28, 4, 30, 4, 20, 4, 7, 4, 9, 4, 7, 4, 41, 4, 36, 5, 12, 10]"
4950,z_min=exp(b)+1/2+pi+w,5,<EXPR_START> <ASSIGN_START> <MUL_START> IDENT:z * UNKNOWN:_ * IDENT:m * IDENT:i * IDENT:n <MUL_END> = <ADD_START> <MUL_START> IDENT:e * IDENT:x * IDENT:p * <PAREN_START> IDENT:b <PAREN_END> <MUL_END> + <MUL_START> NUMBER:1 / NUMBER:2 <MUL_END> + <MUL_START> IDENT:p * IDENT:i <MUL_END> + IDENT:w <ADD_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 6, 67, 4, 9, 4, 21, 4, 19, 4, 22, 5, 14, 16, 6, 28, 4, 40, 4, 25, 4, 18, 44, 17, 5, 8, 6, 37, 23, 29, 5, 8, 6, 25, 4, 19, 5, 8, 74, 15, 12, 10]"
8329,x=sum_j=0^inf(v+beta),4,<EXPR_START> <ASSIGN_START> IDENT:x = <MUL_START> IDENT:s * IDENT:u * IDENT:m * UNKNOWN:_ * IDENT:j <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 40, 14, 6, 27, 4, 43, 4, 21, 4, 9, 4, 81, 5, 12, 10]"
3338,h=sqrt(2+R-sigma),3,<EXPR_START> <ASSIGN_START> IDENT:h = <MUL_START> IDENT:s * IDENT:q * IDENT:r * IDENT:t * <PAREN_START> <ADD_START> NUMBER:2 + IDENT:R - <MUL_START> IDENT:s * IDENT:i * IDENT:g * IDENT:m * IDENT:a <MUL_END> <ADD_END> <PAREN_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 39, 14, 6, 27, 4, 76, 4, 34, 4, 20, 4, 18, 16, 29, 8, 46, 26, 6, 27, 4, 19, 4, 36, 4, 21, 4, 7, 5, 15, 17, 5, 12, 10]"
5590,L=(a_avg^2*beta_i)/(p+V^-)+(u_1-alpha^-+y)/(3+G+v^+*v)+dm/dt,5,<EXPR_START> <PARSE_ERROR> IDENT:L OP:= LPAREN:( IDENT:a OP:* UNDERSCORE:_ OP:* IDENT:a OP:* IDENT:v OP:* IDENT:g OP:^ NUMBER:2 OP:* IDENT:b OP:* IDENT:e OP:* IDENT:t OP:* IDENT:a OP:* UNDERSCORE:_ OP:* IDENT:i RPAREN:) OP:/ LPAREN:( IDENT:p OP:+ IDENT:V OP:^ OP:- RPAREN:) OP:+ LPAREN:( IDENT:u OP:* UNDERSCORE:_ OP:* NUMBER:1 OP:- IDENT:a OP:* IDENT:l OP:* IDENT:p OP:* IDENT:h OP:* IDENT:a OP:^ OP:- OP:+ IDENT:y RPAREN:) OP:/ LPAREN:( NUMBER:3 OP:+ IDENT:G OP:+ IDENT:v OP:^ OP:+ OP:* IDENT:v RPAREN:) OP:+ IDENT:d OP:* IDENT:m OP:/ IDENT:d OP:* IDENT:t <EXPR_END>,"[11, 80, 50, 79, 68, 7, 24, 62, 24, 7, 24, 41, 24, 36, 71, 29, 24, 44, 24, 28, 24, 20, 24, 7, 24, 62, 24, 19, 69, 73, 68, 25, 49, 53, 71, 55, 69, 49, 68, 43, 24, 62, 24, 37, 55, 7, 24, 30, 24, 25, 24, 39, 24, 7, 71, 55, 49, 54, 69, 73, 68, 35, 49, 70, 49, 41, 71, 49, 24, 41, 69, 49, 38, 24, 21, 73, 38, 24, 20, 10]"
252,p=r^n,2,<EXPR_START> <ASSIGN_START> IDENT:p = <POW_START> IDENT:r ^ IDENT:n <POW_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 25, 14, 32, 34, 33, 22, 31, 12, 10]"
