id,full_equation,complexity
249,a=int_0^inf(3+k+delta^n)dV,4
250,p_i=(1/3*p_avg)/(1+k+x^**v-w)+log(c+p_avg+F),5
251,n=R,1
252,p=r^n,2
253,b=tan(4+G+gamma),3
254,g=dF/dx,4
255,h=partialA/partialt-(1+c+h_avg^3)^3-(G+m+omega_i)^1/2-(1/2-N_A*s_min*t_2^circ-d_net)/(2-x),5
256,h=T_f,1
257,a_1=(W)/(1+c),2
258,v=sin(1/2+B+T),3
259,m=dL/dt,4
260,Q=sum_k=1^n(4/3+R+mu_f^-+beta+C)-sum_n=0^n(pi+v_avg+r_net+F)+(2/3*h-P-lambda_f)/(1/2*e*T)+cos(pi+W),5
261,a=h,1
262,V_avg=y^2,2
263,m=sin(G-F+tau),3
264,a_i=int(4+G+n_0+gamma)dr,4
265,m_i=(1/3*epsilon-F_net)/(k*A)+e-v^circ,5
266,F=1/3+T,1
267,A_rms=(4/3+delta)^3,2
268,n_f=sin(k*F_rms-b_0),3
269,b=int(2/3+v_2+x+W)dt,4
270,m=(R+v-I+tau^n)/(2+pi*gamma_min^2+lambda)-2/3-psi*R*W_net+sin(k+n+z_rms^circ+a),5
271,B=2/3-I,1
272,L_0=(1*T_f)/(h_0),2
273,T_rms=sin(epsilon+I_1),3
274,B=int(4/3+sigma^*+a_net+v_max)dV,4
275,v_i=int(2/3+a+x+v_min^3)dt-cos(pi+c+r_2+u)+sum_j=0^N(4+r^3+p_min)-int_a^L(3+N_A+V^n+g_2+P)dt,5
276,L=h_i,1
277,W=(3+sigma_min)^n,2
278,y=cos(G+t_0),3
279,a=partialv/partialx,4
280,V_min=log(e*g)-G+v*z_max,5
281,m=2/3+gamma_i,1
282,n_2=(4*A)/(theta),2
283,E=log(3*c*V_net*n),3
284,v=int_L^L(2/3+G+mu_f+g)dr,4
285,C=N_A-w_avg+(4/3*c-L)/(L_i*E^-)-(4+pi+b_min+delta+tau_rms)^2+(2/3-pi-b-v+C_f)/(pi+alpha_avg^--P_1*epsilon_rms),5
286,T=tau_1,1
287,a=(2+tau)^n,2
288,C_min=sin(3-R_0),3
289,V=partialP/partialx,4
290,E_0=(N_A+F_avg+epsilon_avg+P_0)^1/2+sum_j=0^inf(z^*+y_0+R)+partialm/partialx+(e+gamma+p_f)^2,5
291,B=2-sigma_f,1
292,C_f=(4/3+mu)^2,2
293,C=cos(e+h_min+d),3
294,R=int(1/2+C)dx,4
295,n=int_0^inf(4+k+u_0+u+beta_avg)dV-(1/3+pi+delta_max)^2+(3+R+theta)^3+a^n,5
296,R=4-s,1
297,I=(1/2+V_1)^n,2
298,y_i=ln(2+omega_1),3
299,n=int_a^L(1/2+mu_max+B)dV,4
300,P=int_0^L(k+V_f+n)dr-e*v*tau,5
301,C=g_rms,1
302,a_avg=(t)/(tau_avg),2
303,p_2=tan(1/3+k+v+u),3
304,A=partialR/partialy,4
305,I=G*t*lambda-u-log(4-E_net^3+epsilon*W_2)-2/3+pi*h_net^2-(delta-x+omega^+)/(1/3+pi-w*B^2*F_max),5
306,g=h_avg,1
307,E=(1/3+V)^n,2
308,E=exp(4/3+c+T_min),3
309,L_net=sum_k=0^inf(N_A+z+F^n),4
310,B=dR/dx-da/dx,5
311,L=2*u_1,1
312,x=(1/3+F)^n,2
313,A=ln(1/2+sigma_f),3
314,a_f=dB/dx,4
315,B=int(E_f+lambda^2+p_net)dV-(N_A+alpha_max^-1)/(3+R+A_2-z)+ln(4+R+I^2+B_avg),5
316,v=1/3-lambda_f,1
317,T=(c)/(4+omega),2
318,I=tan(2-alpha),3
319,R=partialW/partialx,4
320,F=sum_j=1^inf(2+e+theta)+(e+t_f+sigma_max*E)/(G-R+g_2),5
321,L=2*E,1
322,T_0=F_min^3,2
323,E_min=log(4/3+e*L*sigma_avg),3
324,R=dm/dx,4
325,R=1/2+c+a_i+b_max*mu+sum_n=1^n(phi+s_0+v)+dQ/dx,5
326,m=4/3*m,1
327,m=(v_1)/(epsilon),2
328,v=sin(R+p_net+beta),3
329,B=int(c+a+epsilon+mu_2)dV,4
330,F=partialh/partialr+(N_A*A_net*theta)/(1/2+pi-A^3+lambda+beta),5
331,E=4/3+R,1
332,m=y_avg^2,2
333,v_rms=cos(s),3
334,n=sum_n=0^n(1/3+d_min^3),4
335,h=cos(k+g+delta)+ln(4+c+lambda_net^n+P+h^*)+4-epsilon^-1*delta_min^2-int(e+v+F_min^-1)dr,5
336,y=t_net,1
337,F_avg=(2/3+a_0)/(2-sigma),2
338,h_net=sqrt(1/3-pi-omega*v),3
339,m=int(4+A+epsilon_i)dt,4
340,T=(N_A+w+tau^*)^3-e+c_f^3-(N_A+h)/(c*z*m),5
341,B=x,1
342,y=T_f^2,2
343,T=tan(N_A-lambda_rms),3
344,P_2=sum_k=1^N(c+I+tau),4
345,L=partialv/partialx+ln(1/3-beta_max-B*delta_net),5
346,a=T_1,1
347,V=(x)/(4*g),2
348,L=log(pi+a+tau_max),3
349,g=partialR/partialt,4
350,L_1=exp(1/2+r_min*epsilon-C^circ)+G*R-T^*,5
351,V=1/2+gamma_i,1
352,F=(4/3+phi_f)^3,2
353,P=sin(e+a+delta),3
354,T=int(pi+n+t_2)dx,4
355,h=e*g_2*theta_rms-x_f+1/3-pi-alpha-(g_rms)/(2*e-T_avg),5
356,C=1/3*tau,1
357,v=(1/2-h)/(p),2
358,b=sin(1+G+E),3
359,F_1=sum_j=1^n(e+Q_max),4
360,B_rms=(3-pi+W_rms^-*a_2+W)/(d^3)-sqrt(e+v+theta_avg),5
361,V=2/3*E_avg,1
362,R=(2/3+alpha_1)^2,2
363,E=exp(2-h*g-c),3
364,T_net=dR/dt,4
365,y=log(2+v^2+W_1)+2/3*k*C_1+sqrt(G+y_rms+a_1+x_avg),5
366,Q=1/2+n,1
367,V_avg=(4/3-gamma_net)/(n),2
368,T=log(1/2*pi*a+a),3
369,b_max=int(R+v_i+C^3)dr,4
370,P=R*m_net+x+sin(k-lambda^n)-4*C_min^3,5
371,T=u,1
372,R_f=x^3,2
373,T=exp(alpha_net*v),3
374,L=int_a^b(1/3+h+omega_min)dx,4
375,V=sum_n=0^N(m^-)-I_f-(1*N_A+v_1)/(a_1*T),5
376,a=x,1
377,B_i=R^3,2
378,L=ln(2-R-omega*Q_2),3
379,R_0=int_a^b(4+C_max^3+beta_avg)dV,4
380,a_i=(3*k+d_f^-+u_max-W_f)/(k+sigma*phi)+A^-1^n+1+(c+R_max+g)^3,5
381,F=4*t,1
382,P=(3+a)^n,2
383,v=sqrt(e-tau),3
384,V_min=dW/dx,4
385,V_i=(I*A)/(x_min)+exp(2+v)+(1+lambda^circ+T_rms+R)^n+1,5
386,n=2/3+I,1
387,E=(2/3+I_f)^n,2
388,n=tan(N_A+g),3
389,P=sum_i=0^n(2/3+a^-+t^-1),4
390,W_2=partialB/partialy+int(3+e+v_max)dx,5
391,n=t_avg,1
392,L=(1+a_avg)^3,2
393,a_net=cos(1/2-pi-E+theta),3
394,p_min=int_a^inf(3+R+phi_2+v_f^-1)dr,4
395,W=tan(k-R-a^n-phi_2^3)+4/3-c+C_rms-delta*a+partialR/partialt,5
396,v=4/3+R_0,1
397,h_f=(4/3+s_f)^3,2
398,P=exp(R*m-p),3
399,L=partialC/partialt,4
400,z=sqrt(m_i^n)-exp(h+C_2)+N_A-u+A+(R+v_net+B)^1/2,5
401,I=x,1
402,T_min=phi^n,2
403,h=exp(epsilon_max),3
404,C_avg=partialg/partialr,4
405,y=sqrt(P_2+n_1+v)+(1/3+c+a_max+lambda+v)^2-partialE/partialx,5
406,L=2*lambda_1,1
407,m=(4-n_avg)/(4/3-W),2
408,E=ln(1-y*n),3
409,b=sum_i=1^N(2/3+c+d_avg^circ+m),4
410,n=sin(c+v_rms^++c_rms^circ+z)-sum_k=1^n(4/3+N_A+z_min+C+b_2),5
411,I=n,1
412,Q=(1/2+r_1)/(1/3+mu),2
413,b=ln(4/3+h+epsilon+mu_net),3
414,p=sum_j=0^n(4+epsilon+t+d),4
415,L=dB/dt-(2/3+N_A+d_2+v_2^3+sigma)^1/2+(2+R+p)^2+(G+m_2+d^*)^n,5
416,Q=d,1
417,V=(4/3+theta)^2,2
418,I=exp(1/3+psi_min+L_max),3
419,Q=partiala/partialy,4
420,z=(2+e+lambda)^1/2+(1+R_f*A_net+beta_min)/(k-R^circ+b)-(d_0+x)/(d_f)+h+w_min^*-v,5
421,F=omega,1
422,b=(s)/(4+a),2
423,p=log(G+n+u),3
424,T_min=sum_k=0^inf(1/2+beta+c_2+Q_i),4
425,T_avg=(1/3*N_A+y+phi_net-F_min)/(4/3-e+phi-psi+b_max)+(1/2*k+P_f^n)/(k+Q)+(2/3*delta*g_net)/(3-E^n),5
426,z=1/2-gamma_0,1
427,x=(1/3+d)/(4/3*a),2
428,p=log(delta_i),3
429,z=sum_j=0^n(e+mu+m+y_i),4
430,n=4/3-N_A*p*a^3-T^2-B_min,5
431,p=1-b,1
432,C=(1+alpha)^2,2
433,v=log(G+d+lambda),3
434,m=dI/dt,4
435,V=(k*a_rms-omega)/(1*h*mu_1)+log(1/3+R*n^2+v)-log(k+b+F+m)+cos(1/3-g),5
436,P=I_0,1
437,y=(C)/(psi),2
438,I_net=exp(h+beta),3
439,R=sum_k=1^inf(4+G+x),4
440,B_i=2*phi_max*t+exp(pi+L_avg^+)-(c+I+P)^2+log(R+v-R),5
441,T=2*E,1
442,W=omega_i^n,2
443,C_rms=sin(R-epsilon_0+u_2),3
444,p_i=sum_i=0^n(4/3+N_A+P+sigma),4
445,B_f=k*L+c_rms+int_a^inf(3+k+mu_net+c_i^3+beta)dr+(R+v+b)^2-sin(R+n_2+u_min^n),5
446,h=4/3-theta,1
447,B=V^3,2
448,C_rms=log(e-phi_avg*z_f),3
449,P=dL/dt,4
450,y=h+Q_rms+(2/3*e-E_rms+x)/(E_avg)+sin(k+t+gamma_avg+Q_2^3)-(R-E_0)/(h-a_rms+sigma*alpha_1),5
451,b=a_i,1
452,a=(1/3-omega_i)/(2*n_0),2
453,v_max=log(2/3+W),3
454,P=int(e+Q_max+h+v_1)dt,4
455,v=exp(3+k+u+epsilon*L)+h*P-B+phi^--(pi+d_f+L_max+h^n)^n+dI/dt,5
456,a=2+v_2,1
457,E=(r_f)/(A),2
458,C=log(1/2+N_A+a),3
459,P=dE/dt,4
460,F_min=(3+c+b+b)^n-cos(a^++a+epsilon^3),5
461,B=I_max,1
462,I_max=(2/3*A)/(mu_0),2
463,y=log(1/2+psi_0+p_min),3
464,g_1=dP/dt,4
465,T=dB/dt-sqrt(2-z_f*c_0^--F)+(3+tau)^2+log(g^+),5
466,a=p,1
467,n=(W)/(psi),2
468,m=ln(1/2-N_A+theta-a_max),3
469,y=partialn/partialx,4
470,F=exp(1-G+A*psi_rms-g)-1/3-h*v+P^-*psi_1+(1*C_rms^-)/(e+psi+n_1)+(1/2+psi^3+psi)^2,5
471,x=b_rms,1
472,h_i=p^n,2
473,B_1=cos(1*h*r*a_2),3
474,B=int_L^L(4/3+G+v_2)dt,4
475,C=N_A+h*b^-1*tau-3-R-psi_2^+-y+1/2-sigma_min+int_0^b(1/2+c+T+V^n+phi)dx,5
476,v=R_1,1
477,I=(2/3+a)^3,2
478,A=exp(2+R+mu_max-F),3
479,x=int(4/3+W_2+phi_f+W)dt,4
480,z=da/dx-(2-sigma*x+h_1)/(1+w^-1)-(G+beta+sigma^circ+theta)^2+(T_i)/(R+gamma),5
481,T=3*h,1
482,T_i=(3+V)^3,2
483,g=sin(2/3+P+y_2),3
484,p=dp/dt,4
485,v_1=partialB/partialr-1/2+e-n,5
486,A=1/2+omega,1
487,y=(1/2+mu_i)^n,2
488,C=cos(G+r+tau_i),3
489,V=partialh/partialt,4
490,a=(3*e+B+F_min+T)/(2-h+F_rms*A_rms-a_2)-k-y_i^3,5
491,A=F_net,1
492,g=(1+lambda_0)^3,2
493,F=tan(c+z+r),3
494,a=dv/dt,4
495,F=(G+r_rms^3+s_avg)^3+h-g+(3+N_A+Q+v_2+c^+)^2-pi+A^+*theta_min+B,5
496,b=sigma,1
497,h=(3+epsilon_2)/(c),2
498,E=sin(h+y),3
499,I=partialv/partialt,4
500,R=cos(psi_i)+(2+G+a+psi)^-1+(1/3+k+phi)^2,5
501,m=4+tau,1
502,a_net=g^2,2
503,m=log(1/3-N_A*tau*r),3
504,F=sum_n=0^n(pi+g_min+beta_1+w),4
505,P=(1*N_A+tau_f+L*p)/(Q_f^2)-k-P_rms+T-4*G+I_rms+exp(4+h+Q+c),5
506,A=t,1
507,P=(3+B)^2,2
508,P_net=sin(R+alpha),3
509,b_net=dg/dx,4
510,v_0=(1/2*theta^3*beta_max^3+g)/(3+N_A+A)-2-R+F_0,5
511,x=b_1,1
512,A=(z)/(P_net),2
513,E=log(G+B+W),3
514,A=int(3+c+V+u_1)dr,4
515,n_2=(R+mu^n+b+beta)^2+dI/dx-a^3,5
516,R=3*t,1
517,h=(p_2)/(sigma_max),2
518,m_net=ln(1+P),3
519,B_min=sum_i=1^inf(sigma_avg+y+F),4
520,P=log(G-L+P^-1*h)-int(4/3+R+n+r)dx+(W+C+a)^2,5
521,m=F_f,1
522,g=(1/3+sigma_max)^3,2
523,a=sin(pi*n+t),3
524,z=sum_n=1^n(3+k+T+r),4
525,C=dv/dx+(1/2-e*W+B)/(tau_f^*),5
526,B=B,1
527,C_2=x^n,2
528,h=exp(1+h+gamma+W),3
529,P=sum_i=0^N(e+t+t),4
530,W=(h+u+beta+mu)^n+1-1/3*N_A-v,5
531,T=2+E,1
532,V_avg=(1/2+v)^3,2
533,n_f=cos(c+r+sigma),3
534,F=int(3+k+V_2)dr,4
535,y=3*e+h_i-dW/dt+(1+k*C_rms^3)/(4/3*k+beta^circ*p_avg)-ln(2/3+e+W),5
536,a=2+s,1
537,y=gamma^2,2
538,A_max=ln(2/3-L-Q_f),3
539,y=int(alpha_net+n_min)dV,4
540,x=dE/dt-(c*L^3*mu)/(1/2*c+h*F_net),5
541,F=3+mu_max,1
542,p=(A_min)/(1*P_0),2
543,B_1=log(P),3
544,R_i=int(v_1)dV,4
545,n=(psi)/(k+lambda*alpha_1)-3+p_0-L+(k+gamma_avg+v^n+I)^-1,5
546,B=1/2-h_avg,1
547,L=(2+b)^n,2
548,R=ln(R+theta_rms+z),3
549,v=dP/dt,4
550,p=(e+x_max)^-1+(2/3-alpha)/(2+R*r-g*a_min)-cos(pi+B^2+beta_0)+sin(k-c-v_min),5
551,F=T,1
552,n_min=(a_rms)/(1-a),2
553,a=tan(4/3+V_min*mu),3
554,I=dT/dt,4
555,b_i=(2+h+phi_i+E_0+psi^n)^3-(1/3+G+t_rms+T-s_rms)/(n_net+V),5
556,F=s,1
557,v_1=c^n,2
558,n=tan(2/3+c),3
559,T=dv/dx,4
560,x=(G+E)/(2/3-e*sigma)+(1/2+e+w_net)^n,5
561,P=n,1
562,L=(2/3*m)/(n_0),2
563,R_net=ln(delta_f),3
564,p=sum_k=0^inf(2+k+v_rms+v),4
565,n_net=pi+d_2+(2/3-e*b_f^-)/(3-z_min-Q+alpha_net)+N_A+V-gamma_f*E_0,5
566,A=z_0,1
567,m=(3+tau)^n,2
568,W=tan(R+c_1+I_net),3
569,V=partialB/partialy,4
570,y_f=log(t+r+sigma^circ)-tan(pi+m_min+T_f+epsilon),5
571,m=2/3*c_avg,1
572,L_1=(W)/(delta),2
573,n_1=exp(N_A+L_2),3
574,V=dC/dx,4
575,v=int_L^b(4+m_avg+p)dt-dC/dx,5
576,E=3*psi,1
577,a=(B_net)/(Q),2
578,z_avg=sqrt(R+epsilon),3
579,x=int_a^inf(1/3+N_A+t^circ+w_rms+tau)dt,4
580,a=(G*E_avg+u_2)/(1/2+epsilon_max+c)+k-A^++E,5
581,n=b,1
582,x=(s_i)/(r_i),2
583,a=cos(delta+E),3
584,y_rms=sum_i=1^N(4/3+k+gamma_1+mu+P),4
585,p=(G+b_1^-1+B)^1/2+partialg/partialx-int_L^L(1/2+pi+d+v)dr-(pi*E_net-P_avg^*)/(2+L_min-L-g^2),5
586,Q=p_max,1
587,R=(4+P)^2,2
588,h_rms=sqrt(1+s),3
589,m=partialE/partialr,4
